id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
JoneDa05,Daniel Jones,NYG,qb,@ 10:10 PM EDT,26,15.0,,440.7,292.9,159.8,9.1,23.3,16.5,3080.0,7.0,,,106.0,27.6,3.8,591.7,,,,,,,,,,,,,,,,,,,,,,,,,16.63
ChubNi00,Nick Chubb,CLE,rb,@ 10:10 PM EDT,27,14.3,,,,,,,,,,,,261.4,62.9,9.3,1335.3,14.1,30.5,1.3,232.3,,,,,,,,,,,,,,,,,,,,,17.39
nwexxx99,New England Patriots,NE,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,685.1,0.3,274.9,,,,,,,,,15.7,8.4,16.3,297.0,42.4,0.6,3.2,4822.0,16.49
PresDa01,Dak Prescott,DAL,qb,@ 10:10 PM EDT,30,15.0,,453.0,299.3,169.0,10.4,16.7,26.8,3295.7,7.3,,,45.9,9.5,2.3,179.7,,,,,,,,,,,,,,,,,,,,,,,,,16.46
GoffJa00,Jared Goff,DET,qb,@ 10:10 PM EDT,29,15.0,,484.2,328.2,180.6,6.4,13.3,25.8,3665.0,7.6,,,24.4,3.5,1.1,58.3,,,,,,,,,,,,,,,,,,,,,,,,,16.45
LambCe00,CeeDee Lamb,DAL,wr,@ 10:10 PM EDT,24,14.7,,,,,,,,,,,,9.3,2.8,0.4,59.3,54.1,85.6,7.1,1107.3,,,0.0,23.5,,,,,,,,,,,,,,,,,16.82
sfoxxx99,San Francisco 49ers,SF,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,576.9,0.3,222.1,,,,,,,,,16.2,9.7,14.1,275.0,44.1,0.6,2.8,4346.0,16.32
RobiBi01,Bijan Robinson,ATL,rb,@ 10:10 PM EDT,21,14.3,,,,,,,,,,,,200.4,47.6,6.4,1026.3,23.1,44.2,3.4,407.7,,,,,,,,,,,,,,,,,,,,,17.06
BrowAJ00,A.J. Brown,PHI,wr,@ 10:10 PM EDT,26,14.7,,,,,,,,,,,,,,,,53.1,74.9,7.6,1171.3,,,,,,,,,,,,,,,,,,,,,16.19
BarkSa00,Saquon Barkley,NYG,rb,@ 10:10 PM EDT,26,14.3,,,,,,,,,,,,223.4,47.4,8.0,981.0,21.0,45.7,1.8,332.0,,,,,,,,,,,,,,,,,,,,,16.37
RidlCa00,Calvin Ridley,JAX,wr,@ 10:10 PM EDT,28,14.7,,,,,,,,,,,,2.7,0.7,0.0,16.0,51.1,82.1,8.1,1018.7,,,,,,,,,,,,,,,,,,,,,15.96
ravxxx99,Baltimore Ravens,BAL,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,644.8,0.3,230.7,,,,,,,,,14.8,8.6,11.5,283.0,42.4,0.6,2.4,4650.0,15.56
bufxxx99,Buffalo Bills,BUF,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.3,753.9,0.3,237.2,,,,,,,,,15.4,8.8,15.0,287.0,35.3,0.5,2.2,4519.0,15.48
JacoJo00,Josh Jacobs,LV,rb,@ 10:10 PM EDT,25,14.3,,,,,,,,,,,,267.9,54.6,7.9,1164.0,16.7,36.2,0.8,279.3,,,,,,,,,,,,,,,,,,,,,16.11
nyjxxx99,New York Jets,NYJ,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,621.6,0.2,169.3,,,,,,,,,10.6,7.1,13.2,284.0,38.8,0.4,2.4,4637.0,15.32
PurdBr00,Brock Purdy,SF,qb,@ 10:10 PM EDT,23,15.0,,402.6,273.6,151.7,9.0,20.0,24.3,3155.7,7.8,,,43.2,7.7,2.3,134.7,,,,,,,,,,,,,,,,,,,,,,,,,15.3
pitxxx99,Pittsburgh Steelers,PIT,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,548.1,0.2,192.9,,,,,,,,,8.7,4.9,15.0,319.0,40.6,0.4,2.0,4926.0,15.22
detxxx99,Detroit Lions,DET,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,660.6,0.2,195.5,,,,,,,,,15.7,8.8,12.4,326.0,36.2,0.4,2.1,5232.0,15.14
AdamDa01,Davante Adams,LV,wr,@ 10:10 PM EDT,30,14.7,,,,,,,,,,,,3.2,0.8,0.0,18.3,49.0,77.7,8.0,988.0,,,,,,,,,,,,,,,,,,,,,15.44
kanxxx99,Kansas City Chiefs,KC,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,704.1,0.3,208.7,,,,,,,,,15.9,8.8,11.5,329.0,34.9,0.4,2.4,5074.0,15.06
jaxxxx99,Jacksonville Jaguars,JAX,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,640.2,0.3,224.2,,,,,,,,,15.2,8.0,11.0,312.0,34.4,0.4,2.8,5194.0,15.01
OlavCh00,Chris Olave,NO,wr,@ 10:10 PM EDT,23,14.7,,,,,,,,,,,,1.2,0.4,0.0,8.3,52.2,79.0,5.6,1114.0,,,,,,,,,,,,,,,,,,,,,15.33
StevRh00,Rhamondre Stevenson,NE,rb,@ 10:10 PM EDT,25,14.3,,,,,,,,,,,,189.1,39.1,5.3,842.3,25.7,55.4,2.1,404.3,,,,,,,,,,,,,,,,,,,,,15.58
