id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
BrowAJ00,A.J. Brown,PHI,wr,@ 10:34 PM EDT,26,16.3,,,,,,,,,,,,,,,,61.8,86.0,9.9,1360.6,,,,,,,,,,,,,,,,,,,,,17.3
dalxxx99,Dallas Cowboys,DAL,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,555.0,0.3,239.2,,,,,,,,,17.3,9.9,18.7,356.5,44.5,0.7,3.5,5718.5,16.45
nwexxx99,New England Patriots,NE,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,676.7,0.3,265.8,,,,,,,,,17.1,9.4,18.8,338.5,43.5,0.7,3.4,5459.0,16.32
GoffJa00,Jared Goff,DET,qb,@ 10:34 PM EDT,29,16.3,,569.4,381.6,210.8,9.4,16.6,28.7,4278.5,7.5,,,28.0,3.8,1.1,67.7,,,,,,,,,,,,,,,,,,,,,,,,,17
sfoxxx99,San Francisco 49ers,SF,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,570.5,0.3,216.7,,,,,,,,,17.9,10.4,14.3,336.0,49.0,0.7,3.3,5108.0,16.19
AdamDa01,Davante Adams,LV,wr,@ 10:34 PM EDT,30,16.3,,,,,,,,,,,,2.0,0.4,0.0,9.6,60.7,93.0,9.3,1252.6,,,,,,,,,,,,,,,,,,,,,16.91
RobiBi01,Bijan Robinson,ATL,rb,@ 10:34 PM EDT,21,15.5,,,,,,,,,,,,275.1,60.1,9.4,1261.5,21.0,41.6,2.6,363.8,,,,,,,,,,,,,,,,,,,,,17.72
BarkSa00,Saquon Barkley,NYG,rb,@ 10:34 PM EDT,26,15.5,,,,,,,,,,,,270.0,56.8,9.4,1179.7,24.1,52.9,1.8,375.3,,,,,,,,,,,,,,,,,,,,,17.71
RodgAa00,Aaron Rodgers,NYJ,qb,@ 10:34 PM EDT,39,16.3,,566.2,368.5,207.0,9.0,23.1,27.2,4168.2,7.4,,,33.4,6.1,1.3,119.8,,,,,,,,,,,,,,,,,,,,,,,,,16.83
TagoTu00,Tua Tagovailoa,MIA,qb,@ 10:34 PM EDT,25,15.3,,526.5,348.9,194.4,12.0,18.2,27.0,4247.3,8.1,,,36.5,6.1,1.3,117.7,,,,,,,,,,,,,,,,,,,,,,,,,17.74
