id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
MahoPa00,Patrick Mahomes II,KC,qb,@ 10:11 PM EDT,28,14.0,,528.7,356.7,199.1,10.4,13.3,32.4,4226.0,8.0,,,53.7,14.4,2.4,298.7,,,,,,,,,,,,,,,,,,,,,,,,,22.8
HurtJa00,Jalen Hurts,PHI,qb,@ 10:11 PM EDT,25,14.0,,407.5,278.1,152.7,6.4,21.3,22.6,3289.7,8.1,,,120.9,33.2,8.0,627.0,,,,,,,,,,,,,,,,,,,,,,,,,22.63
AlleJo01,Josh Allen,BUF,qb,@ 10:11 PM EDT,27,14.0,,499.5,334.2,187.0,12.0,22.0,29.5,3737.7,7.5,,,78.3,22.6,4.4,452.7,,,,,,,,,,,,,,,,,,,,,,,,,22.26
JeffJu00,Justin Jefferson,MIN,wr,@ 10:11 PM EDT,24,13.7,,2.0,1.3,0.7,,,,33.3,16.7,,,3.7,1.3,0.3,23.3,69.9,105.9,7.7,1482.0,,,,,,,,,,,,,,,,,,,,,22.34
HillTy00,Tyreek Hill,MIA,wr,@ 10:11 PM EDT,29,13.7,,,,,,,,,,,,7.5,2.3,0.4,48.3,66.2,97.7,8.4,1419.0,,,,,,,,,,,,,,,,,,,,,21.7
McCaCh00,Christian McCaffrey,SF,rb,@ 10:11 PM EDT,27,13.3,,1.3,0.7,0.4,,,,13.3,10.0,,,214.9,51.5,9.3,1050.0,26.8,53.9,3.3,448.0,,,,,,,,,,,,,,,,,,,,,20.85
HerbJu00,Justin Herbert,LAC,qb,@ 10:11 PM EDT,25,14.0,,527.2,363.5,196.0,9.2,22.7,24.9,3902.7,7.4,,,51.0,10.3,2.3,199.7,,,,,,,,,,,,,,,,,,,,,,,,,19.13
JackLa00,Lamar Jackson,BAL,qb,@ 10:11 PM EDT,26,14.0,,394.4,255.3,144.3,8.3,23.7,19.6,2931.0,7.4,,,105.5,30.4,4.0,656.3,,,,,,,,,,,,,,,,,,,,,,,,,19
FielJu00,Justin Fields,CHI,qb,@ 10:11 PM EDT,24,13.7,,383.7,242.0,138.7,11.3,25.3,17.8,2763.3,7.2,,,117.9,35.8,4.7,775.0,,,,,,,,,,,,,,,,,,,,,,,,,19.12
EkelAu00,Austin Ekeler,LAC,rb,@ 10:11 PM EDT,28,13.0,,,,,,,,,,,,166.8,38.9,8.2,763.7,30.7,60.9,3.9,519.7,,,,,,,,,,,,,,,,,,,,,19.99
