id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
JeffJu00,Justin Jefferson,MIN,wr,@ 10:11 PM EDT,24,12.7,,2.0,1.3,0.7,,,,26.7,13.3,,,3.5,0.8,,19.0,69.0,103.0,7.2,1481.7,,,,,,,,,,,,,,,,,,,,,23.45
HurtJa00,Jalen Hurts,PHI,qb,@ 10:11 PM EDT,25,12.7,,385.2,263.5,143.3,7.7,15.3,19.0,3107.7,8.1,,,115.7,31.3,7.9,583.0,,,,,,,,,,,,,,,,,,,,,,,,,22.71
MahoPa00,Patrick Mahomes II,KC,qb,@ 10:11 PM EDT,28,12.7,,470.9,316.7,177.1,9.9,12.0,28.8,3702.3,7.9,,,53.2,14.7,2.4,305.3,,,,,,,,,,,,,,,,,,,,,,,,,22.52
AlleJo01,Josh Allen,BUF,qb,@ 10:11 PM EDT,27,12.7,,445.0,300.5,167.3,10.5,20.4,26.7,3354.7,7.5,,,67.2,20.6,4.6,398.0,,,,,,,,,,,,,,,,,,,,,,,,,22.45
HillTy00,Tyreek Hill,MIA,wr,@ 10:11 PM EDT,29,12.7,,,,,,,,,,,,6.8,2.2,0.4,45.3,60.3,87.2,8.7,1302.3,,,,,,,,,,,,,,,,,,,,,21.79
McCaCh00,Christian McCaffrey,SF,rb,@ 10:11 PM EDT,27,12.3,,1.3,0.7,0.4,,,,13.3,10.0,,,202.2,50.1,10.0,999.3,25.3,51.2,3.2,423.3,,,,,,,,,,,,,,,,,,,,,22.01
JackLa00,Lamar Jackson,BAL,qb,@ 10:11 PM EDT,26,12.7,,358.4,236.2,131.9,6.8,23.3,18.0,2660.3,7.4,,,105.0,30.0,4.3,638.7,,,,,,,,,,,,,,,,,,,,,,,,,19.87
HerbJu00,Justin Herbert,LAC,qb,@ 10:11 PM EDT,25,12.7,,491.3,338.3,182.9,7.9,17.3,23.8,3626.7,7.4,,,40.2,8.5,2.0,161.7,,,,,,,,,,,,,,,,,,,,,,,,,19.72
AlleKe00,Keenan Allen,LAC,wr,@ 10:11 PM EDT,31,12.7,,,,,,,,,,,,1.3,0.3,,6.7,57.2,95.4,6.3,1131.0,,,,,,,,,,,,,,,,,,,,,19.48
TagoTu00,Tua Tagovailoa,MIA,qb,@ 10:11 PM EDT,25,12.7,,399.6,278.8,152.8,7.6,14.0,25.9,3453.7,8.6,,,30.5,6.0,1.8,105.0,,,,,,,,,,,,,,,,,,,,,,,,,19.33
EkelAu00,Austin Ekeler,LAC,rb,@ 10:11 PM EDT,28,12.3,,,,,,,,,,,,165.5,37.7,7.3,755.3,28.1,55.4,4.0,476.0,,,,,,,,,,,,,,,,,,,,,19.85
CousKi00,Kirk Cousins,MIN,qb,@ 10:11 PM EDT,35,12.7,,499.1,342.0,186.7,10.5,20.0,26.4,3777.7,7.6,,,18.9,3.1,0.9,55.0,,,,,,,,,,,,,,,,,,,,,,,,,19.24
RichAn00,Anthony Richardson,IND,qb,@ 10:11 PM EDT,22,12.7,,379.9,233.8,134.5,11.5,14.0,14.2,2528.7,6.7,,,108.5,32.4,6.8,636.3,,,,,,,,,,,,,,,,,,,,,,,,,18.62
ChasJa00,Ja&apos;Marr Chase,CIN,wr,@ 10:11 PM EDT,23,12.7,,,,,,,,,,,,3.8,0.9,0.0,22.0,51.1,82.7,7.6,1019.7,,,,,,,,,,,,,,,,,,,,,18.31
FielJu00,Justin Fields,CHI,qb,@ 10:11 PM EDT,24,12.3,,345.6,219.6,125.2,10.3,24.0,16.1,2482.0,7.2,,,106.0,30.4,4.2,652.3,,,,,,,,,,,,,,,,,,,,,,,,,18.71
DiggSt00,Stefon Diggs,BUF,wr,@ 10:11 PM EDT,29,12.7,,,,,,,,,,,,0.7,0.1,,3.3,51.1,83.5,7.4,1014.3,,,,,,,,,,,,,,,,,,,,,18.11
PollTo01,Tony Pollard,DAL,rb,@ 10:11 PM EDT,26,12.3,,,,,,,,,,,,198.1,47.3,7.9,981.0,18.8,39.3,2.2,311.7,,,,,,,,,,,,,,,,,,,,,18.48
LawrTr00,Trevor Lawrence,JAX,qb,@ 10:11 PM EDT,24,12.7,,458.3,306.4,167.3,8.3,16.0,18.8,3288.0,7.2,,,53.9,12.6,2.3,257.3,,,,,,,,,,,,,,,,,,,,,,,,,17.9
AdamDa01,Davante Adams,LV,wr,@ 10:11 PM EDT,30,12.7,,,,,,,,,,,,2.2,0.6,0.0,13.0,50.5,80.0,7.0,1029.0,,,,,,,,,,,,,,,,,,,,,17.85
RobiBi01,Bijan Robinson,ATL,rb,@ 10:11 PM EDT,21,12.3,,,,,,,,,,,,174.6,40.5,4.4,899.3,24.4,48.7,2.8,418.7,,,,,,,,,,,,,,,,,,,,,18
dalxxx99,Dallas Cowboys,DAL,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,185.0,0.2,194.5,,,,,,,,,14.3,8.7,12.1,250.0,41.8,0.5,3.2,4189.0,16.98
BrowAJ00,A.J. Brown,PHI,wr,@ 10:11 PM EDT,26,12.7,,,,,,,,,,,,,,,,49.3,70.6,6.4,1085.7,,,,,,,,,,,,,,,,,,,,,17.13
WatsDe00,Deshaun Watson,CLE,qb,@ 10:11 PM EDT,28,12.7,,386.5,255.9,141.6,8.2,20.7,17.7,2947.7,7.6,,,62.3,14.7,2.7,298.3,,,,,,,,,,,,,,,,,,,,,,,,,17.02
BurrJo01,Joe Burrow,CIN,qb,@ 10:11 PM EDT,26,12.5,,446.5,296.8,164.3,8.7,20.0,21.5,3218.3,7.2,,,40.7,6.8,1.1,141.0,,,,,,,,,,,,,,,,,,,,,,,,,17.2
phixxx99,Philadelphia Eagles,PHI,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,251.3,0.3,213.0,,,,,,,,,13.8,7.8,12.1,243.0,39.9,0.5,2.9,3801.0,16.56
StBrAm00,Amon-Ra St. Brown,DET,wr,@ 10:11 PM EDT,24,12.7,,,,,,,,,,,,6.4,2.2,0.4,44.0,47.8,80.6,5.8,934.7,,,,,,,,,,,,,,,,,,,,,16.98
SmitGe01,Geno Smith,SEA,qb,@ 10:11 PM EDT,33,12.7,,407.9,281.5,152.2,7.9,15.3,20.2,3070.0,7.5,,,45.1,10.0,1.1,220.7,,,,,,,,,,,,,,,,,,,,,,,,,16.87
KelcTr00,Travis Kelce,KC,te,@ 10:11 PM EDT,34,12.7,,,,,,,,,,,,1.3,0.5,0.3,3.3,44.4,73.1,8.8,854.7,,,,,,,,,,,,,,,,,,,,,16.82
sfoxxx99,San Francisco 49ers,SF,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,211.4,0.2,180.5,,,,,,,,,14.0,8.2,12.1,239.0,39.0,0.5,2.4,3766.0,16.32
KuppCo00,Cooper Kupp,LAR,wr,@ 10:11 PM EDT,30,12.0,,,,,,,,,,,,4.4,1.0,0.0,24.0,47.7,79.4,5.9,943.7,,,,,,,,,,,,,,,,,,,,,17.64
GoffJa00,Jared Goff,DET,qb,@ 10:11 PM EDT,29,12.7,,404.5,277.1,151.7,7.6,12.0,22.1,3112.0,7.7,,,27.1,4.5,1.2,83.3,,,,,,,,,,,,,,,,,,,,,,,,,16.61
JoneDa05,Daniel Jones,NYG,qb,@ 10:11 PM EDT,26,12.7,,384.5,255.2,138.5,8.6,16.0,12.9,2619.0,6.8,,,92.7,24.4,3.6,518.0,,,,,,,,,,,,,,,,,,,,,,,,,16.51
nwexxx99,New England Patriots,NE,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,296.2,0.3,223.3,,,,,,,,,13.6,7.3,14.1,258.0,36.7,0.5,2.8,4179.0,15.69
PresDa01,Dak Prescott,DAL,qb,@ 10:11 PM EDT,30,12.7,,400.5,266.6,148.2,9.0,15.3,20.6,2893.7,7.2,,,38.4,7.9,1.7,154.3,,,,,,,,,,,,,,,,,,,,,,,,,16.01
LambCe00,CeeDee Lamb,DAL,wr,@ 10:11 PM EDT,24,12.7,,,,,,,,,,,,7.9,1.7,0.0,42.0,45.3,72.1,5.6,928.3,,,0.0,19.1,,,,,,,,,,,,,,,,,16
LoveJo01,Jordan Love,GB,qb,@ 10:11 PM EDT,24,12.7,,387.0,236.6,139.4,8.5,12.0,19.5,2799.3,7.2,,,44.5,9.8,2.2,188.3,,,,,,,,,,,,,,,,,,,,,,,,,15.99
ravxxx99,Baltimore Ravens,BAL,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,241.2,0.2,187.5,,,,,,,,,12.8,7.4,10.0,245.0,36.7,0.5,2.1,4030.0,15.56
bufxxx99,Buffalo Bills,BUF,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,325.9,0.2,185.0,,,,,,,,,13.3,7.6,13.0,249.0,30.6,0.5,1.9,3917.0,15.49
StroCJ00,C.J. Stroud,HOU,qb,@ 10:11 PM EDT,22,12.7,,456.8,294.3,163.7,9.0,24.0,16.6,3284.3,7.2,,,41.7,7.5,1.6,146.3,,,,,,,,,,,,,,,,,,,,,,,,,15.88
nyjxxx99,New York Jets,NYJ,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,249.9,0.2,137.5,,,,,,,,,9.2,6.1,11.5,246.0,33.6,0.4,2.1,4019.0,15.33
OlavCh00,Chris Olave,NO,wr,@ 10:11 PM EDT,23,12.7,,,,,,,,,,,,1.0,0.3,0.0,7.3,46.7,71.6,4.1,1002.3,,,,,,,,,,,,,,,,,,,,,15.55
PurdBr00,Brock Purdy,SF,qb,@ 10:11 PM EDT,23,12.7,,332.6,227.5,125.6,6.7,18.0,20.0,2660.0,8.0,,,40.5,7.0,2.2,118.3,,,,,,,,,,,,,,,,,,,,,,,,,15.42
PittMi01,Michael Pittman Jr,IND,wr,@ 10:11 PM EDT,26,12.7,,,,,,,,,,,,,,,,46.4,85.4,4.0,854.7,,,,,,,,,,,,,,,,,,,,,15.36
CookJa05,James Cook,BUF,rb,@ 10:11 PM EDT,24,12.3,,,,,,,,,,,,166.0,37.1,3.6,836.7,20.1,40.4,2.5,342.3,,,,,,,,,,,,,,,,,,,,,15.73
BarkSa00,Saquon Barkley,NYG,rb,@ 10:11 PM EDT,26,11.9,,,,,,,,,,,,181.3,37.5,6.3,776.7,18.7,41.1,1.3,296.0,,,,,,,,,,,,,,,,,,,,,16.26
JacoJo00,Josh Jacobs,LV,rb,@ 10:11 PM EDT,25,12.3,,,,,,,,,,,,195.5,38.1,6.1,796.3,19.0,40.8,0.8,318.3,,,,,,,,,,,,,,,,,,,,,15.58
detxxx99,Detroit Lions,DET,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,278.0,0.2,158.8,,,,,,,,,13.6,7.6,10.7,283.0,35.0,0.4,1.8,4535.0,14.61
WilsRu00,Russell Wilson,DEN,qb,@ 10:11 PM EDT,34,12.3,,376.9,244.9,138.2,8.4,17.3,18.9,2764.3,7.3,,,34.9,7.7,1.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,15.36
kanxxx99,Kansas City Chiefs,KC,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,304.4,0.2,169.6,,,,,,,,,13.8,8.0,10.0,275.0,32.0,0.4,2.2,4312.0,14.51
pitxxx99,Pittsburgh Steelers,PIT,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,204.8,0.2,167.2,,,,,,,,,7.5,4.2,13.0,276.0,35.0,0.4,1.8,4269.0,14.44
htxxxx99,Houston Texans,HOU,td,@ 10:11 PM EDT,,13.0,,,,,,,,,,,,,,,,,,,,0.1,181.3,0.2,187.0,,,,,,,,,14.1,7.3,11.9,302.0,30.6,0.4,1.8,4626.0,14.41
