id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
JeffJu00,Justin Jefferson,MIN,wr,@ 10:11 PM EDT,24,12.0,,2.0,1.3,0.7,,,,26.7,13.3,,,3.5,1.2,0.3,22.3,61.6,91.8,7.3,1320.0,,,,,,,,,,,,,,,,,,,,,22.73
HurtJa00,Jalen Hurts,PHI,qb,@ 10:11 PM EDT,25,11.7,,363.2,247.5,134.8,7.7,16.0,17.6,2909.7,8.0,,,113.1,30.2,7.5,563.0,,,,,,,,,,,,,,,,,,,,,,,,,23.18
AlleJo01,Josh Allen,BUF,qb,@ 10:11 PM EDT,27,11.7,,416.3,282.9,157.4,10.5,15.3,26.0,3189.0,7.7,,,55.8,17.7,4.2,334.3,,,,,,,,,,,,,,,,,,,,,,,,,22.84
McCaCh00,Christian McCaffrey,SF,rb,@ 10:11 PM EDT,27,11.3,,1.3,0.7,0.4,,,,13.3,10.0,,,201.8,51.5,10.4,1024.0,22.3,44.9,2.7,377.0,,,,,,,,,,,,,,,,,,,,,23.16
MahoPa00,Patrick Mahomes II,KC,qb,@ 10:11 PM EDT,28,11.7,,436.3,291.4,163.3,9.2,11.3,25.8,3412.3,7.8,,,54.5,14.6,2.1,312.0,,,,,,,,,,,,,,,,,,,,,,,,,22.43
HillTy00,Tyreek Hill,MIA,wr,@ 10:11 PM EDT,29,12.0,,,,,,,,,,,,6.8,2.4,0.4,48.7,55.9,79.4,8.8,1218.3,,,,,,,,,,,,,,,,,,,,,21.73
HerbJu00,Justin Herbert,LAC,qb,@ 10:11 PM EDT,25,12.5,,473.9,326.8,176.6,7.2,17.3,23.2,3542.0,7.5,,,44.2,9.0,2.3,165.0,,,,,,,,,,,,,,,,,,,,,,,,,19.75
AlleKe00,Keenan Allen,LAC,wr,@ 10:11 PM EDT,31,12.7,,,,,,,,,,,,1.3,0.3,,6.7,56.9,95.1,6.6,1119.0,,,,,,,,,,,,,,,,,,,,,19.52
JackLa00,Lamar Jackson,BAL,qb,@ 10:11 PM EDT,26,11.7,,320.1,216.3,119.0,5.8,21.3,16.6,2398.0,7.5,,,105.7,30.7,5.9,618.0,,,,,,,,,,,,,,,,,,,,,,,,,21
EkelAu00,Austin Ekeler,LAC,rb,@ 10:11 PM EDT,28,12.0,,,,,,,,,,,,156.6,35.6,6.8,715.7,28.2,55.9,4.1,474.3,,,,,,,,,,,,,,,,,,,,,19.9
TagoTu00,Tua Tagovailoa,MIA,qb,@ 10:11 PM EDT,25,11.7,,378.8,263.0,144.4,7.5,14.0,24.1,3287.7,8.7,,,29.8,6.0,1.8,105.0,,,,,,,,,,,,,,,,,,,,,,,,,19.81
RichAn00,Anthony Richardson,IND,qb,@ 10:11 PM EDT,22,12.0,,350.6,215.3,124.6,10.2,13.3,14.2,2391.0,6.8,,,101.7,30.7,7.0,588.3,,,,,,,,,,,,,,,,,,,,,,,,,19.19
DiggSt00,Stefon Diggs,BUF,wr,@ 10:11 PM EDT,29,11.7,,,,,,,,,,,,0.7,0.1,,3.3,50.2,81.0,8.1,998.3,,,,,,,,,,,,,,,,,,,,,19.68
FielJu00,Justin Fields,CHI,qb,@ 10:11 PM EDT,24,12.0,,333.1,214.6,122.5,10.9,26.0,18.1,2458.3,7.4,,,93.4,27.8,3.9,595.7,,,,,,,,,,,,,,,,,,,,,,,,,19.06
BrowAJ00,A.J. Brown,PHI,wr,@ 10:11 PM EDT,26,11.7,,,,,,,,,,,,,,,,51.6,75.3,6.2,1125.3,,,,,,,,,,,,,,,,,,,,,19.25
CousKi00,Kirk Cousins,MIN,qb,@ 10:11 PM EDT,35,12.0,,455.1,310.0,170.4,10.5,18.5,25.1,3389.3,7.4,,,18.2,3.0,0.9,51.7,,,,,,,,,,,,,,,,,,,,,,,,,18.57
AdamDa01,Davante Adams,LV,wr,@ 10:11 PM EDT,30,12.0,,,,,,,,,,,,2.2,0.6,0.0,13.0,49.9,80.3,6.4,1010.0,,,,,,,,,,,,,,,,,,,,,18.42
WatsDe00,Deshaun Watson,CLE,qb,@ 10:11 PM EDT,28,12.7,,381.1,252.9,139.8,8.2,20.0,17.7,2909.3,7.6,,,61.7,14.7,2.7,298.3,,,,,,,,,,,,,,,,,,,,,,,,,16.9
RobiBi01,Bijan Robinson,ATL,rb,@ 10:11 PM EDT,21,11.7,,,,,,,,,,,,159.4,36.9,3.8,824.3,24.4,49.1,2.7,414.7,,,,,,,,,,,,,,,,,,,,,18.03
ChasJa00,Ja&apos;Marr Chase,CIN,wr,@ 10:11 PM EDT,23,12.0,,,,,,,,,,,,3.8,0.9,0.0,22.0,45.9,74.8,6.8,912.7,,,,,,,,,,,,,,,,,,,,,17.38
