"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (MIA)","11","15","215","19.5","47","9","2","0","0","0","0","1","33.5","33.5","100.0%"
"2","Brandon Aiyuk (SF)","8","8","129","16.1","23","2","2","0","0","0","0","1","24.9","24.9","97.3%"
"3","Jakobi Meyers (LV)","9","10","81","9.0","21","1","2","0","0","0","0","1","20.1","20.1","89.4%"
"4","Kendrick Bourne (NE)","6","11","64","10.7","19","0","2","0","0","0","0","1","18.4","18.4","38.8%"
"5","Stefon Diggs (BUF)","10","13","102","10.2","18","0","1","0","0","0","0","1","16.2","16.2","100.0%"
"6","Calvin Ridley (JAC)","8","11","101","12.6","29","2","1","0","0","0","0","1","16.1","16.1","97.1%"
"7","Michael Pittman Jr. (IND)","8","11","97","12.1","39","2","1","0","0","0","0","1","15.7","15.7","94.5%"
"8","Justin Jefferson (MIN)","9","12","150","16.7","42","7","0","0","0","0","0","1","15.0","15.0","99.4%"
"9","Romeo Doubs (GB)","4","5","26","6.5","13","0","2","0","0","0","0","1","14.6","14.6","55.5%"
"10","Rashid Shaheed (NO)","5","6","89","17.8","41","4","1","2","11","0","1","1","14.0","14.0","27.2%"
"11","Amon-Ra St. Brown (DET)","6","9","71","11.8","21","1","1","0","0","0","0","1","13.1","13.1","100.0%"
"12","Mike Evans (TB)","6","10","66","11.0","28","1","1","0","0","0","0","1","12.6","12.6","96.5%"
"13","Jordan Addison (MIN)","4","6","61","15.3","39","2","1","0","0","0","0","1","12.1","12.1","92.6%"
"14","Puka Nacua (LAR)","10","15","119","11.9","21","2","0","0","0","0","0","1","11.9","11.9","96.6%"
"15","Tutu Atwell (LAR)","6","8","119","19.8","44","4","0","0","0","0","0","1","11.9","11.9","41.9%"
"16","Zay Jones (JAC)","5","7","55","11.0","18","0","1","0","0","0","0","1","11.5","11.5","25.3%"
"17","Darnell Mooney (CHI)","4","7","53","13.3","23","2","1","0","0","0","0","1","11.3","11.3","23.5%"
"18","Chris Olave (NO)","8","10","112","14.0","45","3","0","0","0","0","0","1","11.2","11.2","98.6%"
"19","DeVonta Smith (PHI)","7","10","47","6.7","13","0","1","0","0","0","0","1","10.7","10.7","98.7%"
"20","DK Metcalf (SEA)","3","5","47","15.7","28","1","1","0","0","0","0","1","10.7","10.7","98.6%"
"21","River Cracraft (MIA)","3","5","40","13.3","24","1","1","0","0","0","0","1","10.0","10.0","0.1%"
"22","Garrett Wilson (NYJ)","5","5","34","6.8","14","0","1","0","0","0","0","1","9.4","9.4","98.6%"
"23","Courtland Sutton (DEN)","4","5","32","8.0","15","0","1","0","0","0","0","1","9.2","9.2","81.4%"
"24","Zay Flowers (BAL)","9","10","78","8.7","21","2","0","2","9","0","0","1","8.7","8.7","90.1%"
"25","Rashee Rice (KC)","3","5","29","9.7","25","1","1","1","-3","0","0","1","8.6","8.6","62.2%"
"26","KaVontae Turpin (DAL)","2","3","11","5.5","7","0","0","3","14","1","0","1","8.5","8.5","0.2%"
"27","Keenan Allen (LAC)","6","9","76","12.7","36","2","0","2","6","0","0","1","8.2","8.2","99.4%"
"28","Josh Reynolds (DET)","4","7","80","20.0","33","3","0","0","0","0","0","1","8.0","8.0","30.1%"
"29","Nico Collins (HOU)","6","11","80","13.3","26","1","0","0","0","0","0","1","8.0","8.0","89.8%"
"30","A.J. Brown (PHI)","7","10","79","11.3","23","1","0","0","0","0","0","1","7.9","7.9","100.0%"
"31","Jaylen Waddle (MIA)","4","5","78","19.5","35","3","0","0","0","0","0","1","7.8","7.8","99.7%"
"32","CeeDee Lamb (DAL)","4","4","77","19.3","49","3","0","0","0","0","0","1","7.7","7.7","100.0%"
"33","Lil'Jordan Humphrey (DEN)","2","2","11","5.5","6","0","1","0","0","0","0","1","7.1","7.1","0.0%"
"34","Trey Palmer (TB)","2","3","8","4.0","7","0","1","0","0","0","0","1","6.8","6.8","0.5%"
"35","Davante Adams (LV)","6","9","66","11.0","18","0","0","0","0","0","0","1","6.6","6.6","100.0%"
"36","DeAndre Hopkins (TEN)","7","13","65","9.3","16","0","0","0","0","0","0","1","6.5","6.5","92.9%"
"37","Allen Robinson II (PIT)","5","8","64","12.8","31","2","0","0","0","0","0","1","6.4","6.4","2.7%"
"38","Deebo Samuel (SF)","5","7","55","11.0","22","1","0","2","8","0","0","1","6.3","6.3","97.3%"
"39","Elijah Moore (CLE)","3","7","43","14.3","33","2","0","2","19","0","0","1","6.2","6.2","48.1%"
"40","Michael Thomas (NO)","5","8","61","12.2","25","1","0","0","0","0","0","1","6.1","6.1","82.7%"
"41","Curtis Samuel (WAS)","5","5","54","10.8","32","2","0","1","6","0","0","1","6.0","6.0","47.3%"
