"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Stefon Diggs (BUF)","6","7","120","20.0","55","4","3","0","0","0","0","1","30.0","30.0","100.0%"
"2","A.J. Brown (PHI)","9","13","175","19.4","59","6","2","0","0","0","0","1","29.5","29.5","100.0%"
"3","Nico Collins (HOU)","7","9","168","24.0","52","8","2","0","0","0","0","1","28.8","28.8","89.8%"
"4","Puka Nacua (LAR)","9","10","163","18.1","32","6","1","0","0","0","0","1","22.3","22.3","96.6%"
"5","Justin Jefferson (MIN)","6","9","85","14.2","30","3","2","0","0","0","0","1","20.5","20.5","99.4%"
"6","Michael Wilson (ARI)","7","7","76","10.9","33","2","2","0","0","0","0","1","19.6","19.6","12.6%"
"7","DJ Moore (CHI)","8","9","131","16.4","29","3","1","0","0","0","0","1","19.1","19.1","97.7%"
"8","Brandon Aiyuk (SF)","6","6","148","24.7","42","7","0","0","0","0","0","1","14.8","14.8","97.3%"
"9","Gabe Davis (BUF)","3","3","61","20.3","34","2","1","0","0","0","0","1","12.1","12.1","84.4%"
"10","Allen Lazard (NYJ)","3","3","61","20.3","39","2","1","0","0","0","0","1","12.1","12.1","18.2%"
"11","Amon-Ra St. Brown (DET)","5","7","56","11.2","24","1","1","0","0","0","0","1","11.6","11.6","100.0%"
"12","Deven Thompkins (TB)","4","4","45","11.3","26","1","1","1","11","0","0","1","11.6","11.6","0.4%"
"13","Chris Godwin (TB)","8","11","114","14.3","42","5","0","0","0","0","0","1","11.4","11.4","92.9%"
"14","Braxton Berrios (MIA)","6","6","43","7.2","15","0","1","1","11","0","0","1","11.4","11.4","3.6%"
"15","Curtis Samuel (WAS)","7","8","51","7.3","15","0","0","1","1","1","0","1","11.2","11.2","47.3%"
"16","Nick Westbrook-Ikhine (TEN)","5","6","51","10.2","22","1","1","0","0","0","0","1","11.1","11.1","0.8%"
"17","CeeDee Lamb (DAL)","4","6","36","9.0","20","1","1","1","12","0","0","1","10.8","10.8","100.0%"
"18","Calvin Ridley (JAC)","2","2","38","19.0","30","2","1","0","0","0","0","1","9.8","9.8","97.1%"
"19","Marquise Brown (ARI)","7","10","96","13.7","41","3","0","0","0","0","0","1","9.6","9.6","92.0%"
"20","Romeo Doubs (GB)","9","13","95","10.6","16","0","0","0","0","0","0","1","9.5","9.5","55.5%"
"21","DK Metcalf (SEA)","3","4","34","11.3","16","0","1","0","0","0","0","1","9.4","9.4","98.6%"
"22","Keenan Allen (LAC)","3","5","32","10.7","22","1","1","0","0","0","0","1","9.2","9.2","99.4%"
"23","Drake London (ATL)","3","7","28","9.3","15","0","1","0","0","0","0","1","8.8","8.8","90.2%"
"24","Courtland Sutton (DEN)","3","5","27","9.0","13","0","1","0","0","0","0","1","8.7","8.7","81.4%"
"25","Jahan Dotson (WAS)","4","9","27","6.8","10","0","1","0","0","0","0","1","8.7","8.7","51.3%"
"26","Terry McLaurin (WAS)","8","10","86","10.8","24","1","0","0","0","0","0","1","8.6","8.6","93.8%"
"27","Christian Watson (GB)","2","4","25","12.5","24","1","1","0","0","0","0","1","8.5","8.5","88.1%"
"28","Christian Kirk (JAC)","8","12","84","10.5","30","2","0","0","0","0","0","1","8.4","8.4","92.4%"
"29","Adam Thielen (CAR)","7","8","76","10.9","22","1","0","1","6","0","0","1","8.2","8.2","93.7%"
"30","DeVonta Smith (PHI)","7","9","78","11.1","37","2","0","0","0","0","0","1","7.8","7.8","98.7%"
"31","Joshua Palmer (LAC)","3","8","77","25.7","51","4","0","0","0","0","0","1","7.7","7.7","64.7%"
"32","Davante Adams (LV)","8","13","75","9.4","19","0","0","0","0","0","0","1","7.5","7.5","100.0%"
