"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"33","Jayden Reed (GB)","3","5","55","18.3","44","3","0","0","0","0","0","1","7.5","7.5","17.1%"
"34","Ja'Marr Chase (CIN)","7","9","73","10.4","17","0","0","0","0","0","0","1","7.3","7.3","100.0%"
"35","Tyreek Hill (MIA)","3","5","58","19.3","20","1","0","1","14","0","0","1","7.2","7.2","100.0%"
"36","Josh Reynolds (DET)","3","6","69","23.0","26","3","0","0","0","0","0","1","6.9","6.9","30.1%"
"37","Derius Davis (LAC)","2","2","16","8.0","11","0","0","3","51","0","0","1","6.7","6.7","0.1%"
"38","Trey Palmer (TB)","2","3","6","3.0","5","0","1","0","0","0","0","1","6.6","6.6","0.5%"
"39","Brandon Johnson (DEN)","1","1","4","4.0","4","0","1","0","0","0","0","1","6.4","6.4","0.2%"
"40","DeAndre Hopkins (TEN)","4","6","63","15.8","38","2","0","0","0","0","0","1","6.3","6.3","92.9%"
"41","Michael Gallup (DAL)","5","6","60","12.0","29","1","0","0","0","0","0","1","6.0","6.0","26.4%"
"42","Garrett Wilson (NYJ)","9","14","60","6.7","14","0","0","0","0","0","0","1","6.0","6.0","98.6%"
"43","Terrace Marshall Jr. (CAR)","9","10","56","6.2","14","0","0","0","0","0","0","1","5.6","5.6","0.4%"
"44","Tyler Lockett (SEA)","4","6","54","13.5","23","1","0","0","0","0","0","1","5.4","5.4","92.7%"
"45","Jalen Tolbert (DAL)","4","4","53","13.3","18","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"46","Michael Thomas (NO)","4","6","53","13.3","20","1","0","0","0","0","0","1","5.3","5.3","82.7%"
"47","Jerry Jeudy (DEN)","3","5","52","17.3","25","1","0","0","0","0","0","1","5.2","5.2","77.5%"
"48","Dyami Brown (WAS)","2","3","51","25.5","35","2","0","0","0","0","0","1","5.1","5.1","0.1%"
"49","KaVontae Turpin (DAL)","1","1","5","5.0","5","0","0","1","46","0","0","1","5.1","5.1","0.2%"
"50","Darnell Mooney (CHI)","4","4","51","12.8","17","0","0","0","0","0","0","1","5.1","5.1","23.5%"
"51","Zay Flowers (BAL)","3","4","56","18.7","43","3","0","1","-6","0","0","1","5.0","5.0","90.1%"
"52","Marvin Mims Jr. (DEN)","2","2","47","23.5","48","3","0","0","0","0","0","1","4.7","4.7","12.1%"
"53","Wan'Dale Robinson (NYG)","5","6","40","8.0","12","0","0","1","7","0","0","1","4.7","4.7","14.6%"
"54","Jaylen Waddle (MIA)","4","5","46","11.5","17","0","0","0","0","0","0","1","4.6","4.6","99.7%"
"55","Demario Douglas (NE)","2","3","45","22.5","42","3","0","0","0","0","0","1","4.5","4.5","1.5%"
"56","Chris Moore (TEN)","1","3","44","44.0","44","3","0","0","0","0","0","1","4.4","4.4","0.1%"
"57","Mike Evans (TB)","3","3","40","13.3","18","0","0","0","0","0","0","1","4.0","4.0","96.5%"
"58","Alec Pierce (IND)","1","2","38","38.0","38","2","0","0","0","0","0","1","3.8","3.8","1.9%"
"59","Kalif Raymond (DET)","1","1","-2","-2.0","0","0","0","1","40","0","0","1","3.8","3.8","1.8%"
"60","Kendrick Bourne (NE)","2","3","36","18.0","20","1","0","0","0","0","0","1","3.6","3.6","38.8%"
"61","Michael Pittman Jr. (IND)","1","5","15","15.0","15","0","0","0","0","0","0","1","3.5","3.5","94.5%"
"62","Samori Toure (GB)","1","1","35","35.0","35","2","0","0","0","0","0","1","3.5","3.5","0.1%"
"63","Josh Downs (IND)","2","3","34","17.0","30","2","0","0","0","0","0","1","3.4","3.4","55.9%"
"64","Rashid Shaheed (NO)","3","7","33","11.0","12","0","0","0","0","0","0","1","3.3","3.3","27.2%"
"65","DeVante Parker (NE)","2","4","33","16.5","22","1","0","0","0","0","0","1","3.3","3.3","2.1%"
"66","Jakobi Meyers (LV)","2","4","33","16.5","25","1","0","0","0","0","0","1","3.3","3.3","89.4%"
"67","Rashee Rice (KC)","3","5","32","10.7","18","0","0","0","0","0","0","1","3.2","3.2","62.2%"
"68","Calvin Austin III (PIT)","3","5","24","8.0","12","0","0","1","5","0","0","1","2.9","2.9","2.0%"
"69","Van Jefferson (ATL)","2","3","29","14.5","16","0","0","0","0","0","0","1","2.9","2.9","3.8%"
"70","Tank Dell (HOU)","1","3","16","16.0","16","0","0","2","13","0","0","1","2.9","2.9","51.8%"
"71","DJ Chark Jr. (CAR)","2","3","28","14.0","18","0","0","0","0","0","0","1","2.8","2.8","23.2%"
"72","Brandin Cooks (DAL)","4","4","27","6.8","11","0","0","0","0","0","0","1","2.7","2.7","45.3%"
"73","Robert Woods (HOU)","3","6","26","8.7","13","0","0","0","0","0","0","1","2.6","2.6","14.4%"
"74","Tyler Boyd (CIN)","4","7","26","6.5","9","0","0","0","0","0","0","1","2.6","2.6","46.7%"
"75","George Pickens (PIT)","3","7","25","8.3","17","0","0","0","0","0","0","1","2.5","2.5","92.0%"
"76","Tutu Atwell (LAR)","5","9","24","4.8","11","0","0","0","0","0","0","1","2.4","2.4","41.9%"
"77","Isaiah Hodgins (NYG)","3","3","24","8.0","11","0","0","0","0","0","0","1","2.4","2.4","1.9%"
"78","Darius Slayton (NYG)","2","3","23","11.5","12","0","0","0","0","0","0","1","2.3","2.3","2.4%"
"79","Kadarius Toney (KC)","2","2","22","11.0","15","0","0","0","0","0","0","1","2.2","2.2","26.4%"
"80","John Metchie III (HOU)","1","2","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","1.0%"
"81","Ray-Ray McCloud III (SF)","2","2","22","11.0","14","0","0","0","0","0","0","1","2.2","2.2","1.7%"
"82","Equanimeous St. Brown (CHI)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","0.1%"
"83","Tyler Scott (CHI)","0","0","0","0","0","0","0","2","19","0","0","1","1.9","1.9","0.2%"
"84","Laviska Shenault Jr. (CAR)","1","1","12","12.0","12","0","0","1","7","0","0","1","1.9","1.9","0.1%"
"85","Skyy Moore (KC)","0","2","0","0","0","0","0","2","19","0","0","1","1.9","1.9","31.2%"
"86","Tee Higgins (CIN)","2","4","19","9.5","10","0","0","0","0","0","0","1","1.9","1.9","95.4%"
"87","KhaDarel Hodge (ATL)","2","2","19","9.5","10","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"88","Quentin Johnston (LAC)","1","3","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","25.2%"
"89","Trent Sherfield (BUF)","2","3","18","9.0","9","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"90","Trenton Irwin (CIN)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.2%"
"91","Xavier Gipson (NYJ)","1","1","4","4.0","4","0","0","2","13","0","0","1","1.7","1.7","0.1%"
"92","K.J. Osborn (MIN)","1","2","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","57.2%"
"93","Cedrick Wilson Jr. (MIA)","1","2","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.2%"
"94","Amari Cooper (CLE)","1","6","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","96.5%"
"95","Byron Pringle (WAS)","1","2","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"96","Parris Campbell (NYG)","3","5","15","5.0","8","0","0","0","0","0","0","1","1.5","1.5","3.6%"
"97","JuJu Smith-Schuster (NE)","1","5","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","25.8%"
"98","Hunter Renfrow (LV)","2","4","12","6.0","12","0","0","0","0","0","0","1","1.2","1.2","3.8%"
"99","Lil'Jordan Humphrey (DEN)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"100","Olamide Zaccheaus (PHI)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.2%"
"101","Jalin Hyatt (NYG)","2","2","10","5.0","7","0","0","0","0","0","0","1","1.0","1.0","4.5%"
"102","Cody Thompson (SEA)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"103","Velus Jones Jr. (CHI)","0","0","0","0","0","0","0","1","10","0","0","1","1.0","1.0","0.1%"
"104","Deonte Harty (BUF)","2","2","10","5.0","7","0","0","0","0","0","0","1","1.0","1.0","0.4%"
"105","Zach Pascal (ARI)","3","4","10","3.3","9","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"106","Willie Snead IV (SF)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"107","Devin Duvernay (BAL)","2","2","8","4.0","10","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"108","Allen Robinson II (PIT)","1","2","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","2.7%"
"109","Randall Cobb (NYJ)","2","4","8","4.0","5","0","0","0","0","0","0","1","0.8","0.8","0.5%"
"110","Ronnie Bell (SF)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.2%"
"111","Donovan Peoples-Jones (CLE)","1","4","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","3.0%"
"112","Isaiah McKenzie (IND)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"113","Sterling Shepard (NYG)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.2%"
"114","Deebo Samuel (SF)","0","0","0","0","0","0","0","3","6","0","0","1","0.6","0.6","97.3%"
"115","Marquez Valdes-Scantling (KC)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","5.5%"
"116","Jaxon Smith-Njigba (SEA)","3","6","5","1.7","3","0","0","0","0","0","0","1","0.5","0.5","58.2%"
"117","Cedric Tillman (CLE)","1","3","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.2%"
"118","Justin Watson (KC)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.2%"
"119","Nelson Agholor (BAL)","1","2","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","1.4%"
"120","Chris Olave (NO)","1","6","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","98.6%"
"121","Rakim Jarrett (TB)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"122","Ihmir Smith-Marsette (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"123","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Amari Rodgers (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"125","Shi Smith (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Elijah Moore (CLE)","2","4","20","10.0","13","0","0","1","-20","0","0","1","0.0","0.0","48.1%"
"128","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Chase Claypool (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5%"
"131","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Diontae Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.2%"
"133","Mecole Hardman Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","10.5%"
"134","Greg Dortch (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"135","David Sills V (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Davion Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Andy Isabella (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Tyler Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Miles Boykin (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"140","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Tyron Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Jeff Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Scott Miller (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Juwann Winfree (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Collin Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","N'Keal Harry (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Scotty Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"154","Rondale Moore (ARI)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","22.9%"
"155","Rashod Bateman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.6%"
"156","Freddie Swain (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"158","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"159","Lawrence Cager (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"160","Tyrie Cleveland (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Steven Sims Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Jalen Guyton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Jauan Jennings (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"169","Lynn Bowden Jr. (NO)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Denzel Mims (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","KJ Hamler (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Jalen Reagor (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Raleigh Webb (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Lance McCutcheon (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Kaden Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Kwamie Lassiter II (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Kendric Pryor (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Daylen Baldwin (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Jake Bobo (SEA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"185","Tre Tucker (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"186","Charlie Jones (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"187","Andrei Iosivas (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"188","Xavier Hutchinson (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"189","Josh Ali (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Maurice Alexander (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Jesse Matthews (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Mitchell Tinsley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Devon Allen (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"195","A.T. Perry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"196","Dontayvion Wicks (GB)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"197","Jontre Kirklin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Montrell Washington (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"199","Dareke Young (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Derek Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Jalen Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Sean Ryan (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Tre'Shaun Harrison (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Dylan Drummond (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Bryan Thompson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","David Durden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Tyrell Shavers (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Terrell Bynum (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Shaquan Davis (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Malik Knowles (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Thayer Thomas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Jared Wayne (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Grant DuBose (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Jalen Brooks (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Colton Dowell (TEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"220","Antoine Green (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"221","Matt Landers (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Elijah Cooks (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Chase Cota (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Jason Brownlee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Zavier Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Shedrick Jackson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Isaiah Winstead (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Xavier Smith (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Brycen Tremayne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Tyjon Lindsey (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Duece Watts (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Malik Heath (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Tyquan Thornton (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"235","Treylon Burks (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.4%"
"236","Frank Darby (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Ben Skowronek (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"238","Cornell Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Cade Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Dee Eskridge (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Austin Watkins Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Dax Milne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Jonathan Mingo (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"246","Kayshon Boutte (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"247","Jacob Copeland (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Kearis Jackson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Kyle Philips (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"251","Michael Woods II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Joseph Ngata (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Erik Ezukanma (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"254","Khalil Shakir (BUF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"255","Jameson Williams (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.8%"
"256","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
