"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Etienne Jr. (JAC)","26","136","5.2","35","4","2","4","5","48","12.0","0","0","1","32.4","32.4","99.8%"
"2","Zack Moss (IND)","23","165","7.2","56","4","2","2","2","30","15.0","0","0","1","31.5","31.5","84.3%"
"3","Breece Hall (NYJ)","22","177","8.0","72","4","1","3","3","17","5.7","0","0","1","25.4","25.4","96.8%"
"4","De'Von Achane (MIA)","11","151","13.7","76","5","1","1","1","14","14.0","0","1","1","20.5","20.5","92.0%"
"5","David Montgomery (DET)","19","109","5.7","42","3","1","2","6","20","10.0","0","0","1","18.9","18.9","96.0%"
"6","Alvin Kamara (NO)","22","80","3.6","10","0","1","3","3","17","5.7","0","0","1","15.7","15.7","98.3%"
"7","Josh Jacobs (LV)","20","69","3.5","24","1","1","5","5","20","4.0","0","0","1","14.9","14.9","99.8%"
"8","Jaleel McLaughlin (DEN)","9","68","7.6","38","3","0","3","4","21","7.0","1","0","1","14.9","14.9","40.8%"
"9","Raheem Mostert (MIA)","10","65","6.5","23","1","1","2","2","13","6.5","0","0","1","13.8","13.8","97.7%"
"10","AJ Dillon (GB)","20","76","3.8","11","0","1","0","1","0","0","0","0","1","13.6","13.6","69.6%"
"11","Tyjae Spears (TEN)","7","34","4.9","19","0","1","4","5","35","8.8","0","0","1","12.9","12.9","42.3%"
"12","Jordan Mason (SF)","10","69","6.9","26","1","1","0","1","0","0","0","0","1","12.9","12.9","13.7%"
"13","Isiah Pacheco (KC)","16","55","3.4","11","0","1","1","1","9","9.0","0","0","1","12.4","12.4","97.1%"
"14","Christian McCaffrey (SF)","19","51","2.7","8","0","1","2","3","27","13.5","0","1","1","11.8","11.8","100.0%"
"15","Emari Demercado (ARI)","10","45","4.5","11","0","1","1","3","12","12.0","0","0","1","11.7","11.7","34.6%"
"16","Craig Reynolds (DET)","7","52","7.4","19","0","1","0","0","0","0","0","0","1","11.2","11.2","10.8%"
"17","D'Andre Swift (PHI)","17","70","4.1","17","0","0","6","6","38","6.3","0","0","1","10.8","10.8","97.5%"
"18","Alexander Mattison (MIN)","8","26","3.3","7","0","0","2","3","20","10.0","1","0","1","10.6","10.6","93.6%"
"19","Bijan Robinson (ATL)","14","46","3.3","13","0","0","2","2","12","6.0","1","1","1","9.8","9.8","100.0%"
"20","Joe Mixon (CIN)","25","81","3.2","10","0","0","4","4","13","3.3","0","0","1","9.4","9.4","98.4%"
"21","Kendre Miller (NO)","12","37","3.1","8","0","0","4","4","53","13.3","0","0","1","9.0","9.0","6.3%"
