"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Daniel Jones (NYG)","26","37","70.3","321","8.7","2","1","3","9","59","1","0","1","31.7","31.7","35.9%"
"2","Kirk Cousins (MIN)","31","44","70.5","364","8.3","4","0","2","0","0","0","1","1","28.6","28.6","92.6%"
"3","Russell Wilson (DEN)","18","32","56.3","308","9.6","3","1","7","6","56","0","1","1","26.9","26.9","55.5%"
"4","Jalen Hurts (PHI)","18","23","78.3","193","8.4","1","1","4","12","35","2","0","1","26.2","26.2","100.0%"
"5","Joshua Dobbs (ARI)","21","31","67.7","228","7.4","1","0","0","3","41","1","0","1","25.2","25.2","16.5%"
"6","Jared Goff (DET)","28","35","80.0","323","9.2","3","1","2","0","0","0","0","1","23.9","23.9","83.8%"
"7","Josh Allen (BUF)","31","37","83.8","274","7.4","3","0","2","3","7","0","0","1","23.7","23.7","100.0%"
"8","Geno Smith (SEA)","32","41","78.0","328","8.0","2","0","1","3","20","0","0","1","23.1","23.1","69.5%"
"9","Lamar Jackson (BAL)","24","33","72.7","237","7.2","2","0","0","12","54","0","0","1","22.9","22.9","99.8%"
"10","Desmond Ridder (ATL)","19","32","59.4","237","7.4","1","1","1","10","39","1","0","1","22.4","22.4","9.9%"
"11","Justin Herbert (LAC)","27","41","65.9","305","7.4","2","0","3","1","0","0","0","1","22.2","22.2","98.8%"
"12","Patrick Mahomes II (KC)","29","41","70.7","305","7.4","2","1","1","7","30","0","0","1","22.2","22.2","100.0%"
"13","C.J. Stroud (HOU)","30","47","63.8","384","8.2","2","0","6","3","1","0","1","1","21.5","21.5","75.8%"
"14","Sam Howell (WAS)","27","39","69.2","299","7.7","2","0","4","2","13","0","0","1","21.3","21.3","37.7%"
"15","Ryan Tannehill (TEN)","20","24","83.3","246","10.3","1","0","5","1","12","1","0","1","21.0","21.0","3.9%"
"16","Jordan Love (GB)","14","25","56.0","151","6.0","3","0","1","2","23","0","0","1","20.3","20.3","66.7%"
"17","Dak Prescott (DAL)","31","38","81.6","255","6.7","2","0","1","6","14","0","0","1","19.6","19.6","83.8%"
"18","Baker Mayfield (TB)","26","34","76.5","317","9.3","1","0","0","6","17","0","0","1","18.4","18.4","29.0%"
"19","Anthony Richardson (IND)","6","10","60.0","56","5.6","0","0","0","3","35","2","0","1","17.7","17.7","32.8%"
"20","Justin Fields (CHI)","16","29","55.2","211","7.3","1","2","6","4","3","1","0","1","16.7","16.7","88.7%"
"21","Joe Burrow (CIN)","27","41","65.9","222","5.4","2","1","1","1","5","0","0","1","16.4","16.4","97.1%"
"22","Matthew Stafford (LAR)","34","55","61.8","307","5.6","1","2","1","4","17","0","0","1","16.0","16.0","62.1%"
"23","Mac Jones (NE)","31","42","73.8","231","5.5","1","1","4","5","25","0","0","1","14.7","14.7","6.8%"
"24","Brock Purdy (SF)","17","25","68.0","206","8.2","0","0","1","3","5","1","0","1","14.7","14.7","82.7%"
"25","Bryce Young (CAR)","22","33","66.7","153","4.6","1","0","4","2","34","0","1","1","13.5","13.5","10.4%"
"26","Tua Tagovailoa (MIA)","21","30","70.0","249","8.3","1","1","1","4","3","0","0","1","13.3","13.3","97.8%"
"27","Deshaun Watson (CLE)","22","40","55.0","235","5.9","1","1","6","6","22","0","2","1","12.6","12.6","65.2%"
"28","Zach Wilson (NYJ)","12","27","44.4","170","6.3","1","3","3","5","36","0","0","1","11.4","11.4","5.2%"
"29","Kenny Pickett (PIT)","15","30","50.0","222","7.4","1","1","2","4","-6","0","0","1","11.3","11.3","18.3%"
"30","Gardner Minshew II (IND)","19","23","82.6","171","7.4","1","0","0","2","3","0","0","1","11.1","11.1","11.6%"
