"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Keenan Allen (LAC)","8","10","111","13.9","42","3","2","0","0","0","0","1","23.1","23.1","99.4%"
"2","Mike Evans (TB)","6","8","171","28.5","70","9","1","0","0","0","0","1","23.1","23.1","96.5%"
"3","Tee Higgins (CIN)","8","12","89","11.1","20","1","2","0","0","0","0","1","20.9","20.9","95.4%"
"4","Nico Collins (HOU)","7","9","146","20.9","32","6","1","0","0","0","0","1","20.6","20.6","89.8%"
"5","DeVonta Smith (PHI)","4","5","131","32.8","63","8","1","0","0","0","0","1","19.1","19.1","98.7%"
"6","George Pickens (PIT)","4","10","127","31.8","71","6","1","0","0","0","0","1","18.7","18.7","92.0%"
"7","Josh Reynolds (DET)","5","6","66","13.2","22","2","2","0","0","0","0","1","18.6","18.6","30.1%"
"8","Brandon Johnson (DEN)","2","3","66","33.0","50","4","2","0","0","0","0","1","18.6","18.6","0.2%"
"9","Marvin Mims Jr. (DEN)","2","2","113","56.5","60","8","1","2","10","0","0","1","18.3","18.3","12.1%"
"10","Tyler Lockett (SEA)","8","10","59","7.4","12","0","2","0","0","0","0","1","17.9","17.9","92.7%"
"11","Deebo Samuel (SF)","6","9","63","10.5","23","1","0","5","38","1","0","1","16.1","16.1","97.3%"
"12","Jayden Reed (GB)","4","8","37","9.3","10","0","2","0","0","0","0","1","15.7","15.7","17.1%"
"13","Gabe Davis (BUF)","6","7","92","15.3","40","3","1","0","0","0","0","1","15.2","15.2","84.4%"
"14","Puka Nacua (LAR)","15","20","147","9.8","20","1","0","2","4","0","0","1","15.1","15.1","96.6%"
"15","Davante Adams (LV)","6","8","84","14.0","21","1","1","0","0","0","0","1","14.4","14.4","100.0%"
"16","Garrett Wilson (NYJ)","2","8","83","41.5","68","4","1","0","0","0","0","1","14.3","14.3","98.6%"
"17","CeeDee Lamb (DAL)","11","13","143","13.0","31","5","0","0","0","0","0","1","14.3","14.3","100.0%"
"18","Justin Jefferson (MIN)","11","13","159","14.5","30","5","0","0","0","0","1","1","13.9","13.9","99.4%"
"19","Adam Thielen (CAR)","7","9","54","7.7","15","0","1","0","0","0","0","1","13.4","13.4","93.7%"
"20","Jordan Addison (MIN)","3","5","72","24.0","62","4","1","0","0","0","0","1","13.2","13.2","92.6%"
"21","Tank Dell (HOU)","7","10","72","10.3","23","1","1","0","0","0","0","1","13.2","13.2","51.8%"
"22","Skyy Moore (KC)","3","4","70","23.3","54","4","1","0","0","0","0","1","13.0","13.0","31.2%"
"23","Drake London (ATL)","6","8","67","11.2","24","2","1","0","0","0","0","1","12.7","12.7","90.2%"
"24","Nelson Agholor (BAL)","5","6","63","12.6","17","0","1","0","0","0","0","1","12.3","12.3","1.4%"
"25","Kalif Raymond (DET)","2","3","46","23.0","36","2","1","1","11","0","0","1","11.7","11.7","1.8%"
"26","Marquise Brown (ARI)","6","10","54","9.0","22","1","1","0","0","0","0","1","11.4","11.4","92.0%"
"27","Terry McLaurin (WAS)","5","6","54","10.8","30","2","1","0","0","0","0","1","11.4","11.4","93.8%"
"28","Christian Kirk (JAC)","11","14","110","10.0","45","3","0","0","0","0","0","1","11.0","11.0","92.4%"
"29","DJ Moore (CHI)","6","7","104","17.3","33","5","0","0","0","0","0","1","10.4","10.4","97.7%"
"30","Dontayvion Wicks (GB)","2","4","40","20.0","32","2","1","0","0","0","0","1","10.0","10.0","0.2%"
"31","Isaiah Hodgins (NYG)","4","5","40","10.0","12","0","1","0","0","0","0","1","10.0","10.0","1.9%"
"32","Tyreek Hill (MIA)","5","9","40","8.0","15","0","1","0","0","0","0","1","10.0","10.0","100.0%"
"33","Chase Claypool (MIA)","3","8","36","12.0","20","1","1","0","0","0","0","1","9.6","9.6","5.5%"
"34","K.J. Osborn (MIN)","3","6","34","11.3","18","0","1","0","0","0","0","1","9.4","9.4","57.2%"
"35","Amari Cooper (CLE)","7","10","90","12.9","23","1","0","0","0","0","0","1","9.0","9.0","96.5%"
"36","Jalin Hyatt (NYG)","2","2","89","44.5","58","6","0","0","0","0","0","1","8.9","8.9","4.5%"
"37","Chris Olave (NO)","6","11","86","14.3","42","4","0","0","0","0","0","1","8.6","8.6","98.6%"
"38","Mike Williams (LAC)","8","13","83","10.4","20","1","0","1","3","0","0","1","8.6","8.6","24.1%"
"39","Nick Westbrook-Ikhine (TEN)","3","3","25","8.3","14","0","1","0","0","0","0","1","8.5","8.5","0.8%"
"40","Jaylen Waddle (MIA)","4","6","86","21.5","32","3","0","1","-2","0","0","1","8.4","8.4","99.7%"
"41","Amon-Ra St. Brown (DET)","6","7","102","17.0","39","3","0","0","0","0","1","1","8.2","8.2","100.0%"
"42","Tutu Atwell (LAR)","7","9","77","11.0","18","0","0","1","5","0","0","1","8.2","8.2","41.9%"
"43","Treylon Burks (TEN)","3","4","76","25.3","70","4","0","0","0","0","0","1","7.6","7.6","28.4%"
"44","DK Metcalf (SEA)","6","6","75","12.5","18","0","0","0","0","0","0","1","7.5","7.5","98.6%"
"45","Robert Woods (HOU)","6","9","74","12.3","25","1","0","0","0","0","0","1","7.4","7.4","14.4%"
"46","Khalil Shakir (BUF)","1","1","11","11.0","11","0","1","0","0","0","0","1","7.1","7.1","0.6%"
"47","Zay Flowers (BAL)","4","5","62","15.5","52","4","0","1","6","0","0","1","6.8","6.8","90.1%"
"48","Stefon Diggs (BUF)","7","7","66","9.4","17","0","0","0","0","0","0","1","6.6","6.6","100.0%"
"49","Courtland Sutton (DEN)","5","7","66","13.2","21","1","0","0","0","0","0","1","6.6","6.6","81.4%"
"50","Rashid Shaheed (NO)","4","4","63","15.8","45","3","0","0","0","0","0","1","6.3","6.3","27.2%"
"51","Darius Slayton (NYG)","3","6","62","20.7","29","1","0","0","0","0","0","1","6.2","6.2","2.4%"
"52","Charlie Jones (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"53","Mack Hollins (ATL)","3","6","60","20.0","45","3","0","0","0","0","0","1","6.0","6.0","0.6%"
"54","Chris Godwin (TB)","5","8","58","11.6","24","1","0","0","0","0","0","1","5.8","5.8","92.9%"
"55","DeVante Parker (NE)","6","8","57","9.5","14","0","0","0","0","0","0","1","5.7","5.7","2.1%"
