"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"100","Teddy Bridgewater (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"101","AJ McCarron (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Jacoby Brissett (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Brandon Allen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Sean Mannion (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Taylor Heinicke (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"107","Trevor Siemian (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Sam Darnold (SF)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","4.4%"
"109","Kyle Allen (BUF)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.1%"
"110","Blaine Gabbert (KC)","3","5","60.0","31","6.2","0","2","0","2","-1","0","0","1","-0.9","-0.9","0.1%"
""
""
