"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Herbert (LAC)","40","47","85.1","405","8.6","3","0","1","2","11","0","0","1","29.3","29.3","98.8%"
"2","Tua Tagovailoa (MIA)","23","26","88.5","309","11.9","4","0","0","0","0","0","0","1","28.4","28.4","97.8%"
"3","Lamar Jackson (BAL)","22","31","71.0","202","6.5","0","0","4","14","101","2","1","1","28.2","28.2","99.8%"
"4","Kirk Cousins (MIN)","32","50","64.0","367","7.3","3","1","4","1","10","0","0","1","26.7","26.7","92.6%"
"5","Patrick Mahomes II (KC)","24","33","72.7","272","8.2","3","0","0","3","28","0","0","1","25.7","25.7","100.0%"
"6","Jordan Love (GB)","22","44","50.0","259","5.9","1","1","1","9","39","1","0","1","25.3","25.3","66.7%"
"7","Andy Dalton (CAR)","34","58","58.6","361","6.2","2","0","3","2","11","0","0","1","23.5","23.5","0.1%"
"8","Josh Allen (BUF)","20","32","62.5","218","6.8","1","1","0","3","46","1","0","1","22.3","22.3","100.0%"
"9","Jalen Hurts (PHI)","23","37","62.2","277","7.5","1","2","1","10","28","1","0","1","21.9","21.9","100.0%"
"10","Deshaun Watson (CLE)","27","33","81.8","289","8.8","2","0","3","4","16","0","0","1","21.2","21.2","65.2%"
"11","Jimmy Garoppolo (LV)","28","44","63.6","324","7.4","2","3","4","2","7","0","0","1","20.7","20.7","9.9%"
"12","C.J. Stroud (HOU)","20","30","66.7","280","9.3","2","0","0","3","14","0","0","1","20.6","20.6","75.8%"
"13","Brock Purdy (SF)","25","37","67.6","310","8.4","2","0","2","4","-1","0","0","1","20.3","20.3","82.7%"
"14","Jared Goff (DET)","22","33","66.7","243","7.4","1","1","0","5","3","1","0","1","19.0","19.0","83.8%"
"15","Kenny Pickett (PIT)","16","28","57.1","235","8.4","2","0","1","3","11","0","0","1","18.5","18.5","18.3%"
"16","Joshua Dobbs (ARI)","17","21","81.0","189","9.0","1","0","2","6","55","0","0","1","17.1","17.1","16.5%"
"17","Geno Smith (SEA)","23","36","63.9","296","8.2","1","1","2","4","-4","0","0","1","16.4","16.4","69.5%"
"18","Trevor Lawrence (JAC)","27","40","67.5","279","7.0","1","1","0","3","12","0","0","1","15.4","15.4","92.6%"
"19","Dak Prescott (DAL)","25","40","62.5","249","6.2","1","1","2","3","24","0","0","1","15.4","15.4","83.8%"
"20","Russell Wilson (DEN)","23","38","60.5","306","8.1","1","1","1","0","0","0","0","1","15.2","15.2","55.5%"
"21","Matthew Stafford (LAR)","18","33","54.5","269","8.2","1","2","6","1","7","0","0","1","13.5","13.5","62.1%"
"22","Mac Jones (NE)","15","29","51.7","201","6.9","1","0","0","4","13","0","0","1","13.3","13.3","6.8%"
"23","Gardner Minshew II (IND)","27","44","61.4","227","5.2","1","0","5","0","0","0","0","1","13.1","13.1","11.6%"
"24","Justin Fields (CHI)","11","22","50.0","99","4.5","1","1","3","11","47","0","0","1","11.7","11.7","88.7%"
"25","Baker Mayfield (TB)","15","25","60.0","146","5.8","1","1","2","1","2","0","0","1","11.0","11.0","29.0%"
"26","Joe Burrow (CIN)","26","49","53.1","259","5.3","0","1","2","3","-2","0","0","1","9.2","9.2","97.1%"
"27","Derek Carr (NO)","13","18","72.2","103","5.7","1","0","3","0","0","0","0","1","8.1","8.1","28.1%"
"28","Mike White (MIA)","2","2","100.0","67","33.5","1","0","0","1","-1","0","0","1","6.6","6.6","0.2%"
"29","Zach Wilson (NYJ)","18","36","50.0","157","4.4","0","0","3","1","1","0","0","1","6.4","6.4","5.2%"
"30","Desmond Ridder (ATL)","21","38","55.3","201","5.3","0","0","7","2","3","0","1","1","6.3","6.3","9.9%"
"31","Daniel Jones (NYG)","22","32","68.8","137","4.3","0","1","2","2","5","0","0","1","5.0","5.0","35.9%"
"32","Sam Howell (WAS)","19","29","65.5","170","5.9","0","4","9","1","18","0","0","1","4.6","4.6","37.7%"
"33","Ryan Tannehill (TEN)","13","25","52.0","104","4.2","0","0","5","0","0","0","0","1","4.2","4.2","3.9%"
"34","Jameis Winston (NO)","10","16","62.5","101","6.3","0","0","1","0","0","0","0","1","4.0","4.0","0.3%"
"35","C.J. Beathard (JAC)","2","2","100.0","9","4.5","0","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"36","Tyrod Taylor (NYG)","0","1","0.0","0","0.0","0","0","0","1","2","0","0","1","0.2","0.2","3.0%"
"37","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"39","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"40","Jake Fromm (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Ben DiNucci (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"44","Jake Luton (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Kellen Mond (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"50","Dorian Thompson-Robinson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"51","Aaron Rodgers (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.1%"
"52","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"56","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"57","Anthony Richardson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.8%"
"58","Tommy DeVito (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9%"
"60","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"61","Nathan Rourke (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Malik Cunningham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"64","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"65","Bryce Young (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.4%"
"66","Jaren Hall (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"68","Bailey Zappe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"69","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Malik Willis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"72","Brett Rypien (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"74","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Case Keenum (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Josh Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Brian Hoyer (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"82","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.7%"
"83","Nick Mullens (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","P.J. Walker (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"85","Mason Rudolph (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Cooper Rush (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"87","Logan Woodside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Mitch Trubisky (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"89","Nathan Peterman (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","John Wolford (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Drew Lock (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"92","Will Grier (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"94","Trace McSorley (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"95","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"96","Alex McGough (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Tim Boyle (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Nate Sudfeld (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Marcus Mariota (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
