"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","D'Onta Foreman (CHI)","16","89","5.6","14","0","2","3","5","31","10.3","1","0","1","30.0","30.0","68.9%"
"2","Gus Edwards (BAL)","14","64","4.6","20","1","1","1","1","80","80.0","0","0","1","20.4","20.4","72.1%"
"3","Travis Etienne Jr. (JAC)","14","53","3.8","17","0","2","3","5","24","8.0","0","0","1","19.7","19.7","99.8%"
"4","Christian McCaffrey (SF)","15","45","3.0","9","0","1","3","3","51","17.0","1","1","1","19.6","19.6","100.0%"
"5","Jahmyr Gibbs (DET)","11","68","6.2","21","1","1","9","10","58","6.4","0","0","1","18.6","18.6","97.9%"
"6","Jonathan Taylor (IND)","18","75","4.2","24","1","1","3","4","45","15.0","0","0","1","18.0","18.0","97.4%"
"7","Alvin Kamara (NO)","17","62","3.6","17","0","0","12","14","91","7.6","0","0","1","17.3","17.3","98.3%"
"8","James Cook (BUF)","13","56","4.3","20","1","0","3","3","46","15.3","1","0","1","16.2","16.2","95.9%"
"9","Saquon Barkley (NYG)","21","77","3.7","12","0","0","3","4","41","13.7","1","1","1","15.8","15.8","100.0%"
"10","Jerome Ford (CLE)","11","74","6.7","69","4","1","2","4","20","10.0","0","0","1","15.4","15.4","86.5%"
"11","Kareem Hunt (CLE)","10","31","3.1","11","0","2","0","1","0","0","0","0","1","15.1","15.1","73.2%"
"12","Joshua Kelley (LAC)","7","75","10.7","49","3","1","0","0","0","0","0","0","1","13.5","13.5","23.7%"
"13","Najee Harris (PIT)","14","53","3.8","10","0","1","3","3","15","5.0","0","0","1","12.8","12.8","92.2%"
"14","Darrell Henderson Jr. (LAR)","18","61","3.4","16","0","1","1","2","5","5.0","0","0","1","12.6","12.6","47.7%"
"15","Isiah Pacheco (KC)","13","32","2.5","6","0","0","4","4","28","7.0","1","0","1","12.0","12.0","97.1%"
"16","Tyler Allgeier (ATL)","21","59","2.8","12","0","0","3","3","53","17.7","0","0","1","11.2","11.2","57.1%"
"17","Kenneth Walker III (SEA)","26","105","4.0","25","1","0","2","3","6","3.0","0","0","1","11.1","11.1","99.0%"
"18","Rachaad White (TB)","13","34","2.6","13","0","0","6","6","65","10.8","0","0","1","9.9","9.9","92.2%"
"19","Javonte Williams (DEN)","15","82","5.5","21","1","0","3","4","14","4.7","0","0","1","9.6","9.6","87.4%"
"20","AJ Dillon (GB)","15","61","4.1","15","0","0","2","2","34","17.0","0","0","1","9.5","9.5","69.6%"
"21","Jaylen Warren (PIT)","6","32","5.3","13","0","1","1","2","-1","-1.0","0","0","1","9.1","9.1","68.9%"
"22","Ezekiel Elliott (NE)","11","31","2.8","10","0","1","0","1","0","0","0","0","1","9.1","9.1","43.7%"
"23","Rhamondre Stevenson (NE)","9","34","3.8","14","0","0","6","6","51","8.5","0","0","1","8.5","8.5","96.2%"
"24","Brian Robinson Jr. (WAS)","8","23","2.9","6","0","1","0","1","0","0","0","0","1","8.3","8.3","90.3%"
"25","Kenneth Gainwell (PHI)","8","16","2.0","5","0","1","0","0","0","0","0","0","1","7.6","7.6","27.2%"
"26","Emari Demercado (ARI)","13","58","4.5","18","0","0","4","5","17","4.3","0","0","1","7.5","7.5","34.6%"
"27","D'Andre Swift (PHI)","15","62","4.1","22","1","0","3","3","13","4.3","0","0","1","7.5","7.5","97.5%"
"28","Royce Freeman (LAR)","12","66","5.5","15","0","0","0","0","0","0","0","0","1","6.6","6.6","20.1%"
"29","Zack Moss (IND)","18","57","3.2","21","1","0","1","2","5","5.0","0","0","1","6.2","6.2","84.3%"
"30","Cam Akers (MIN)","10","31","3.1","13","0","0","2","3","30","15.0","0","0","1","6.1","6.1","55.6%"
"31","Aaron Jones (GB)","8","35","4.4","11","0","0","3","5","22","7.3","0","0","1","5.7","5.7","97.4%"
"32","Cordarrelle Patterson (ATL)","10","56","5.6","18","0","0","0","0","0","0","0","0","1","5.6","5.6","2.7%"
"33","Darrynton Evans (CHI)","14","48","3.4","11","0","0","1","3","6","6.0","0","0","1","5.4","5.4","0.2%"
"34","Raheem Mostert (MIA)","9","45","5.0","21","1","0","1","3","6","6.0","0","0","1","5.1","5.1","97.7%"
"35","Justice Hill (BAL)","4","46","11.5","27","1","0","1","1","2","2.0","0","0","1","4.8","4.8","33.7%"
"36","Austin Ekeler (LAC)","14","45","3.2","6","0","0","1","2","1","1.0","0","0","1","4.6","4.6","100.0%"
"37","Jaleel McLaughlin (DEN)","5","45","9.0","23","1","0","1","2","1","1.0","0","0","1","4.6","4.6","40.8%"
"38","Alexander Mattison (MIN)","8","39","4.9","19","0","0","2","3","3","1.5","0","0","1","4.2","4.2","93.6%"
"39","Samaje Perine (DEN)","2","10","5.0","5","0","0","3","3","31","10.3","0","0","1","4.1","4.1","30.5%"
"40","Josh Jacobs (LV)","11","35","3.2","11","0","0","1","4","6","6.0","0","0","1","4.1","4.1","99.8%"
"41","Antonio Gibson (WAS)","2","7","3.5","6","0","0","2","2","24","12.0","0","0","1","3.1","3.1","45.4%"
"42","Patrick Ricard (BAL)","0","0","0","0","0","0","2","2","31","15.5","0","0","1","3.1","3.1","0.1%"
"43","Chris Rodriguez Jr. (WAS)","7","31","4.4","9","0","0","0","0","0","0","0","0","1","3.1","3.1","0.7%"
"44","Latavius Murray (BUF)","4","8","2.0","3","0","0","2","2","20","10.0","0","0","1","2.8","2.8","20.5%"
"45","Zamir White (LV)","2","2","1.0","2","0","0","3","3","26","8.7","0","0","1","2.8","2.8","1.4%"
"46","Emanuel Wilson (GB)","2","19","9.5","14","0","0","2","2","8","4.0","0","0","1","2.7","2.7","0.6%"
"47","Jerick McKinnon (KC)","2","2","1.0","3","0","0","2","2","24","12.0","0","0","1","2.6","2.6","36.0%"
"48","Craig Reynolds (DET)","3","16","5.3","12","0","0","1","1","9","9.0","0","0","1","2.5","2.5","10.8%"
"49","Pierre Strong Jr. (CLE)","8","25","3.1","13","0","0","0","0","0","0","0","0","1","2.5","2.5","8.1%"
"50","Jamaal Williams (NO)","5","14","2.8","4","0","0","0","0","0","0","0","0","1","1.4","1.4","35.4%"
"51","Ty Chandler (MIN)","0","0","0","0","0","0","1","1","12","12.0","0","0","1","1.2","1.2","1.1%"
"52","Matt Breida (NYG)","3","4","1.3","6","0","0","1","1","5","5.0","0","0","1","0.9","0.9","7.3%"
"53","Keaton Mitchell (BAL)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","0.9","0.9","2.9%"
"54","Ke'Shawn Vaughn (TB)","4","7","1.8","9","0","0","0","1","0","0","0","0","1","0.7","0.7","0.8%"
"55","Clyde Edwards-Helaire (KC)","2","5","2.5","7","0","0","0","1","0","0","0","0","1","0.5","0.5","6.7%"
"56","Jeff Wilson Jr. (MIA)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","41.7%"
"57","Khari Blasingame (CHI)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.1%"
"58","Bijan Robinson (ATL)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","100.0%"
"59","Salvon Ahmed (MIA)","2","3","1.5","2","0","0","1","2","0","0.0","0","0","1","0.3","0.3","6.2%"
"60","Tank Bigsby (JAC)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","9.9%"
"61","Damien Williams (ARI)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.6%"
"62","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Tony Pollard (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.8%"
"64","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Devine Ozigbo (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"68","Eno Benjamin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.8%"
"71","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"72","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"75","Miles Sanders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.5%"
"76","Devin Singletary (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.9%"
"77","David Montgomery (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.0%"
"78","Damien Harris (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.0%"
"79","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
