"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LV)","13","20","172","13.2","32","3","2","0","0","0","0","1","29.2","29.2","100.0%"
"2","Keenan Allen (LAC)","18","20","215","11.9","25","5","0","0","0","0","0","1","27.5","27.5","99.4%"
"3","Tyreek Hill (MIA)","9","11","157","17.4","54","4","1","0","0","0","0","1","21.7","21.7","100.0%"
"4","Justin Jefferson (MIN)","7","13","149","21.3","52","8","1","0","0","0","0","1","20.9","20.9","99.4%"
"5","Adam Thielen (CAR)","11","14","145","13.2","25","3","1","0","0","0","0","1","20.5","20.5","93.7%"
"6","Tank Dell (HOU)","5","7","145","29.0","68","7","1","0","0","0","0","1","20.5","20.5","51.8%"
"7","Deebo Samuel (SF)","6","12","129","21.5","40","6","1","1","2","0","0","1","19.1","19.1","97.3%"
"8","Mike Williams (LAC)","7","8","121","17.3","49","5","1","0","0","0","0","1","18.1","18.1","24.1%"
"9","Amari Cooper (CLE)","7","8","116","16.6","43","4","1","0","0","0","0","1","17.6","17.6","96.5%"
"10","DJ Chark Jr. (CAR)","4","11","86","21.5","47","4","1","0","0","0","0","1","14.6","14.6","23.2%"
"11","Ja'Marr Chase (CIN)","12","15","141","11.8","43","3","0","0","0","0","0","1","14.1","14.1","100.0%"
"12","Marvin Mims Jr. (DEN)","3","5","73","24.3","38","4","0","1","3","0","0","1","13.6","13.6","12.1%"
"13","Romeo Doubs (GB)","5","12","73","14.6","30","2","1","0","0","0","0","1","13.3","13.3","55.5%"
"14","Calvin Austin III (PIT)","2","6","72","36.0","72","4","1","0","0","0","0","1","13.2","13.2","2.0%"
"15","Tutu Atwell (LAR)","4","9","50","12.5","37","2","1","1","22","0","0","1","13.2","13.2","41.9%"
"16","A.J. Brown (PHI)","9","14","131","14.6","28","3","0","0","0","0","0","1","13.1","13.1","100.0%"
