"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","De'Von Achane (MIA)","18","203","11.3","67","8","2","4","4","30","7.5","2","0","1","47.3","47.3","92.0%"
"2","Raheem Mostert (MIA)","13","82","6.3","20","1","3","7","7","60","8.6","1","0","1","38.2","38.2","97.7%"
"3","Kenneth Walker III (SEA)","18","97","5.4","36","2","2","3","3","59","19.7","0","0","1","27.6","27.6","99.0%"
"4","Zack Moss (IND)","30","122","4.1","24","2","0","2","3","23","11.5","1","0","1","20.5","20.5","84.3%"
"5","Christian McCaffrey (SF)","18","85","4.7","12","0","1","5","5","34","6.8","0","0","1","17.9","17.9","100.0%"
"6","James Conner (ARI)","14","98","7.0","26","2","1","2","2","18","9.0","0","0","1","17.6","17.6","87.4%"
"7","Jerome Ford (CLE)","10","18","1.8","9","0","1","2","3","33","16.5","1","0","1","17.1","17.1","86.5%"
"8","Jerick McKinnon (KC)","2","9","4.5","10","0","0","3","3","19","6.3","2","0","1","14.8","14.8","36.0%"
"9","Travis Etienne Jr. (JAC)","19","88","4.6","16","0","0","4","5","50","12.5","0","0","1","13.8","13.8","99.8%"
"10","Isiah Pacheco (KC)","15","62","4.1","18","0","1","2","3","16","8.0","0","0","1","13.8","13.8","97.1%"
"11","D'Andre Swift (PHI)","16","130","8.1","29","2","0","1","2","8","8.0","0","0","1","13.8","13.8","97.5%"
"12","Joe Mixon (CIN)","19","65","3.4","14","0","1","1","2","5","5.0","0","0","1","13.0","13.0","98.4%"
"13","Alexander Mattison (MIN)","20","93","4.7","15","0","0","5","7","32","6.4","0","0","1","12.5","12.5","93.6%"
"14","Miles Sanders (CAR)","9","24","2.7","15","0","1","5","9","38","7.6","0","0","1","12.2","12.2","85.5%"
"15","Tony Pollard (DAL)","23","122","5.3","31","2","0","3","3","-1","-0.3","0","0","1","12.1","12.1","99.8%"
"16","Dameon Pierce (HOU)","14","31","2.2","10","0","1","3","3","28","9.3","0","0","1","11.9","11.9","91.6%"
"17","Clyde Edwards-Helaire (KC)","15","55","3.7","16","0","1","1","1","2","2.0","0","0","1","11.7","11.7","6.7%"
"18","James Cook (BUF)","15","98","6.5","34","2","0","2","3","14","7.0","0","0","1","11.2","11.2","95.9%"
"19","Rico Dowdle (DAL)","4","21","5.3","10","0","0","3","3","25","8.3","1","0","1","10.6","10.6","2.8%"
"20","Ezekiel Elliott (NE)","16","80","5.0","14","0","0","1","1","7","7.0","0","0","1","8.7","8.7","43.7%"
"21","Jahmyr Gibbs (DET)","17","80","4.7","21","1","0","1","2","2","2.0","0","0","1","8.2","8.2","97.9%"
"22","Latavius Murray (BUF)","5","15","3.0","7","0","1","1","1","6","6.0","0","0","1","8.1","8.1","20.5%"
"23","Josh Jacobs (LV)","17","62","3.6","10","0","0","3","5","18","6.0","0","0","1","8.0","8.0","99.8%"
"24","Matt Breida (NYG)","4","17","4.3","8","0","1","3","3","1","0.3","0","0","1","7.8","7.8","7.3%"
"25","Brian Robinson Jr. (WAS)","10","70","7.0","23","1","0","0","0","0","0","0","0","1","7.0","7.0","90.3%"
"26","Tank Bigsby (JAC)","2","10","5.0","9","0","1","0","1","0","0","0","0","1","7.0","7.0","9.9%"
"27","Chris Brooks (MIA)","9","66","7.3","52","4","0","0","0","0","0","0","0","1","6.6","6.6","0.6%"
"28","Najee Harris (PIT)","19","65","3.4","17","0","0","0","1","0","0","0","0","1","6.5","6.5","92.2%"
"29","Javonte Williams (DEN)","11","42","3.8","16","0","0","2","3","23","11.5","0","0","1","6.5","6.5","87.4%"
"30","Kyren Williams (LAR)","10","38","3.8","9","0","0","2","7","27","13.5","0","0","1","6.5","6.5","90.8%"
"31","Rhamondre Stevenson (NE)","19","59","3.1","10","0","0","1","4","3","3.0","0","0","1","6.2","6.2","96.2%"
"32","Nick Bawden (NYJ)","1","1","1.0","1","0","1","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"33","Bijan Robinson (ATL)","10","33","3.3","11","0","0","4","6","27","6.8","0","0","1","6.0","6.0","100.0%"
"34","Melvin Gordon III (BAL)","10","32","3.2","15","0","0","2","2","23","11.5","0","0","1","5.5","5.5","0.2%"
"35","Tony Jones Jr. (NO)","8","31","3.9","19","0","0","4","4","21","5.3","0","0","1","5.2","5.2","0.8%"
"36","Jaylen Warren (PIT)","8","29","3.6","11","0","0","3","4","23","7.7","0","0","1","5.2","5.2","68.9%"
"37","Gus Edwards (BAL)","11","51","4.6","14","0","0","0","0","0","0","0","0","1","5.1","5.1","72.1%"
"38","Roschon Johnson (CHI)","8","38","4.8","11","0","0","2","2","11","5.5","0","0","1","4.9","4.9","47.8%"
"39","Kenneth Gainwell (PHI)","14","43","3.1","8","0","0","1","2","5","5.0","0","0","1","4.8","4.8","27.2%"
"40","Devin Singletary (HOU)","9","41","4.6","14","0","0","2","2","4","2.0","0","0","1","4.5","4.5","25.9%"
"41","Zach Charbonnet (SEA)","9","46","5.1","12","0","0","1","2","-1","-1.0","0","0","1","4.5","4.5","36.3%"
"42","Elijah Mitchell (SF)","11","42","3.8","18","0","0","3","3","2","0.7","0","0","1","4.4","4.4","26.9%"
"43","Rachaad White (TB)","14","38","2.7","12","0","0","3","3","24","8.0","0","1","1","4.2","4.2","92.2%"
"44","Gary Brightwell (NYG)","4","5","1.3","2","0","0","2","3","31","15.5","0","0","1","3.6","3.6","0.7%"
"45","Kareem Hunt (CLE)","5","13","2.6","5","0","0","2","3","22","11.0","0","0","1","3.5","3.5","73.2%"
"46","Kendre Miller (NO)","9","34","3.8","10","0","0","1","1","0","0.0","0","0","1","3.4","3.4","6.3%"
"47","AJ Dillon (GB)","11","33","3.0","14","0","0","0","0","0","0","0","0","1","3.3","3.3","69.6%"
"48","Ty Chandler (MIN)","3","27","9.0","12","0","0","1","2","4","4.0","0","0","1","3.1","3.1","1.1%"
"49","Tyler Allgeier (ATL)","7","12","1.7","5","0","0","2","3","17","8.5","0","0","1","2.9","2.9","57.1%"
"50","Dalvin Cook (NYJ)","8","18","2.3","5","0","0","3","3","11","3.7","0","0","1","2.9","2.9","44.0%"
"51","Patrick Taylor Jr. (NE)","3","6","2.0","4","0","0","3","4","23","7.7","0","0","1","2.9","2.9","0.6%"
"52","Breece Hall (NYJ)","12","18","1.5","7","0","0","1","2","9","9.0","0","0","1","2.7","2.7","96.8%"
"53","Pierre Strong Jr. (CLE)","6","27","4.5","9","0","0","0","0","0","0","0","0","1","2.7","2.7","8.1%"
"54","Samaje Perine (DEN)","3","9","3.0","3","0","0","2","3","15","7.5","0","0","1","2.4","2.4","30.5%"
"55","Keaontay Ingram (ARI)","5","13","2.6","8","0","0","1","1","8","8.0","0","0","1","2.1","2.1","8.2%"
"56","Trey Sermon (IND)","5","17","3.4","5","0","0","1","2","4","4.0","0","0","1","2.1","2.1","0.1%"
"57","Hunter Luepke (DAL)","1","9","9.0","9","0","0","1","1","12","12.0","0","0","1","2.1","2.1","0.0%"
"58","Derrick Henry (TEN)","11","20","1.8","9","0","0","0","0","0","0","0","0","1","2.0","2.0","99.9%"
"59","Joshua Kelley (LAC)","11","12","1.1","4","0","0","1","1","5","5.0","0","0","1","1.7","1.7","23.7%"
"60","Ameer Abdullah (LV)","0","0","0","0","0","0","2","3","16","8.0","0","0","1","1.6","1.6","0.9%"
"61","Craig Reynolds (DET)","4","15","3.8","8","0","0","0","0","0","0","0","0","1","1.5","1.5","10.8%"
"62","Khalil Herbert (CHI)","7","31","4.4","11","0","0","2","2","4","2.0","0","1","1","1.5","1.5","63.3%"
"63","Damien Harris (BUF)","5","15","3.0","7","0","0","0","0","0","0","0","0","1","1.5","1.5","11.0%"
"64","Jaleel McLaughlin (DEN)","5","15","3.0","7","0","0","0","0","0","0","0","0","1","1.5","1.5","40.8%"
"65","Zonovan Knight (DET)","3","13","4.3","8","0","0","0","0","0","0","0","0","1","1.3","1.3","0.3%"
"66","D'Ernest Johnson (JAC)","3","6","2.0","3","0","0","2","2","6","3.0","0","0","1","1.2","1.2","0.1%"
"67","Emanuel Wilson (GB)","2","6","3.0","4","0","0","1","1","6","6.0","0","0","1","1.2","1.2","0.6%"
"68","Kenyan Drake (FA)","1","0","0.0","0","0","0","2","3","31","15.5","0","1","1","1.1","1.1","0.1%"
"69","Jordan Mason (SF)","3","11","3.7","5","0","0","0","0","0","0","0","0","1","1.1","1.1","13.7%"
"70","Tyjae Spears (TEN)","4","6","1.5","5","0","0","4","4","3","0.8","0","0","1","0.9","0.9","42.3%"
"71","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","0.7","0.7","0.1%"
"72","Isaiah Spiller (LAC)","2","7","3.5","6","0","0","0","0","0","0","0","0","1","0.7","0.7","0.3%"
"73","DeeJay Dallas (SEA)","2","7","3.5","8","0","0","1","1","-2","-2.0","0","0","1","0.5","0.5","0.9%"
"74","Antonio Gibson (WAS)","2","17","8.5","13","0","0","3","5","7","2.3","0","1","1","0.4","0.4","45.4%"
"75","Chuba Hubbard (CAR)","1","2","2.0","2","0","0","2","3","2","1.0","0","0","1","0.4","0.4","51.1%"
"76","Trayveon Williams (CIN)","1","4","4.0","4","0","0","0","2","0","0","0","0","1","0.4","0.4","0.7%"
"77","Michael Carter (NYJ)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.9%"
"78","Kyle Juszczyk (SF)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.4%"
"79","Emari Demercado (ARI)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","34.6%"
"80","Sean Tucker (TB)","2","1","0.5","2","0","0","0","0","0","0","0","0","1","0.1","0.1","0.7%"
"81","Demetric Felton Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"83","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"85","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Devine Ozigbo (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Darrynton Evans (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"88","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"89","Eno Benjamin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Ke'Shawn Vaughn (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"91","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Cam Akers (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.6%"
"93","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.8%"
"94","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.4%"
"95","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.7%"
"99","David Montgomery (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.0%"
"100","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"103","Darrell Henderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.7%"
"104","Alec Ingold (MIA)","2","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"105","Qadree Ollison (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"106","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"107","Deon Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"108","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"109","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"110","Jonathan Ward (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"113","James Robinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"114","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.2%"
"115","JaMycal Hasty (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
