"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (MIA)","6","10","163","27.2","47","8","1","0","0","0","0","1","22.3","22.3","100.0%"
"2","Cooper Kupp (LAR)","7","9","148","21.1","49","6","1","0","0","0","0","1","20.8","20.8","100.0%"
"3","Amon-Ra St. Brown (DET)","12","15","124","10.3","27","2","1","0","0","0","0","1","18.4","18.4","100.0%"
"4","Adam Thielen (CAR)","11","13","115","10.5","27","1","1","0","0","0","0","1","17.5","17.5","93.7%"
"5","Rashid Shaheed (NO)","2","6","85","42.5","51","6","1","2","18","0","0","1","16.3","16.3","27.2%"
"6","Keenan Allen (LAC)","7","11","85","12.1","23","2","1","0","0","0","0","1","14.5","14.5","99.4%"
"7","A.J. Brown (PHI)","7","9","131","18.7","49","5","0","0","0","0","0","1","13.1","13.1","100.0%"
"8","Drake London (ATL)","9","12","125","13.9","32","3","0","0","0","0","0","1","12.5","12.5","90.2%"
"9","Jakobi Meyers (LV)","5","7","61","12.2","16","0","1","0","0","0","0","1","12.1","12.1","89.4%"
"10","CeeDee Lamb (DAL)","7","7","117","16.7","23","2","0","0","0","0","0","1","11.7","11.7","100.0%"
"11","Jameson Williams (DET)","2","3","53","26.5","45","3","1","0","0","0","0","1","11.3","11.3","34.8%"
"12","Jaylen Waddle (MIA)","7","9","51","7.3","17","0","1","0","0","0","0","1","11.1","11.1","99.7%"
"13","Zay Flowers (BAL)","6","8","50","8.3","14","0","1","1","1","0","0","1","11.1","11.1","90.1%"
"14","Brandin Cooks (DAL)","4","4","36","9.0","17","0","1","1","14","0","0","1","11.0","11.0","45.3%"
"15","Michael Pittman Jr. (IND)","9","14","109","12.1","40","3","0","0","0","0","0","1","10.9","10.9","94.5%"
"16","Christian Kirk (JAC)","3","6","49","16.3","29","1","1","0","0","0","0","1","10.9","10.9","92.4%"
"17","Amari Cooper (CLE)","4","8","108","27.0","58","5","0","0","0","0","0","1","10.8","10.8","96.5%"
"18","Courtland Sutton (DEN)","4","6","46","11.5","21","1","1","0","0","0","0","1","10.6","10.6","81.4%"
"19","Curtis Samuel (WAS)","4","4","42","10.5","16","0","1","1","0","0","0","1","10.2","10.2","47.3%"
"20","Stefon Diggs (BUF)","10","16","100","10.0","28","1","0","0","0","0","0","1","10.0","10.0","100.0%"
"21","Tyler Boyd (CIN)","7","7","38","5.4","9","0","1","0","0","0","0","1","9.8","9.8","46.7%"
"22","Chris Olave (NO)","7","10","96","13.7","24","1","0","0","0","0","0","1","9.6","9.6","98.6%"
"23","Tyler Lockett (SEA)","6","8","94","15.7","36","4","0","0","0","0","0","1","9.4","9.4","92.7%"
"24","Kendrick Bourne (NE)","10","11","89","8.9","36","2","0","1","4","0","0","1","9.3","9.3","38.8%"
"25","Garrett Wilson (NYJ)","8","12","90","11.3","33","2","0","0","0","0","0","1","9.0","9.0","98.6%"
"26","Jordan Addison (MIN)","3","5","28","9.3","15","0","1","0","0","0","0","1","8.8","8.8","92.6%"
"27","Terry McLaurin (WAS)","6","11","81","13.5","22","1","0","0","0","0","0","1","8.1","8.1","93.8%"
"28","Josh Downs (IND)","5","8","21","4.2","9","0","1","0","0","0","0","1","8.1","8.1","55.9%"
"29","Nico Collins (HOU)","4","6","80","20.0","28","2","0","0","0","0","0","1","8.0","8.0","89.8%"
"30","Ja'Marr Chase (CIN)","6","13","80","13.3","31","3","0","0","0","0","0","1","8.0","8.0","100.0%"
"31","Chris Godwin (TB)","6","7","77","12.8","23","1","0","0","0","0","0","1","7.7","7.7","92.9%"
