"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"32","Brandon Aiyuk (SF)","4","10","76","19.0","33","3","0","0","0","0","0","1","7.6","7.6","97.3%"
"33","Rashee Rice (KC)","4","4","72","18.0","28","2","0","0","0","0","0","1","7.2","7.2","62.2%"
"34","DK Metcalf (SEA)","4","9","69","17.3","30","2","0","0","0","0","0","1","6.9","6.9","98.6%"
"35","Darius Slayton (NYG)","4","6","69","17.3","31","3","0","0","0","0","0","1","6.9","6.9","2.4%"
"36","Robert Woods (HOU)","1","3","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","14.4%"
"37","Kadarius Toney (KC)","3","6","9","3.0","5","0","1","2","-5","0","0","1","6.4","6.4","26.4%"
"38","Deonte Harty (BUF)","1","1","3","3.0","3","0","1","0","0","0","0","1","6.3","6.3","0.4%"
"39","Andrei Iosivas (CIN)","1","1","3","3.0","3","0","1","0","0","0","0","1","6.3","6.3","0.1%"
"40","Michael Wilson (ARI)","3","4","62","20.7","26","1","0","0","0","0","0","1","6.2","6.2","12.6%"
"41","Wan'Dale Robinson (NYG)","8","8","62","7.8","13","0","0","0","0","0","0","1","6.2","6.2","14.6%"
"42","Tre Tucker (LV)","2","2","57","28.5","48","3","0","1","4","0","0","1","6.1","6.1","0.1%"
"43","Joshua Palmer (LAC)","4","7","60","15.0","26","1","0","0","0","0","0","1","6.0","6.0","64.7%"
"44","DJ Moore (CHI)","5","8","51","10.2","24","1","0","0","0","0","0","1","5.1","5.1","97.7%"
"45","Josh Reynolds (DET)","3","3","50","16.7","21","2","0","0","0","0","0","1","5.0","5.0","30.1%"
"46","Mike Evans (TB)","4","10","49","12.3","18","0","0","0","0","0","0","1","4.9","4.9","96.5%"
"47","Jaxon Smith-Njigba (SEA)","4","5","48","12.0","18","0","0","0","0","0","0","1","4.8","4.8","58.2%"
"48","K.J. Osborn (MIN)","4","5","48","12.0","21","1","0","0","0","0","0","1","4.8","4.8","57.2%"
"49","Darnell Mooney (CHI)","2","3","48","24.0","39","2","0","0","0","0","0","1","4.8","4.8","23.5%"
"50","Trey Palmer (TB)","2","7","47","23.5","26","2","0","0","0","0","0","1","4.7","4.7","0.5%"
"51","Michael Thomas (NO)","5","8","45","9.0","16","0","0","0","0","0","0","1","4.5","4.5","82.7%"
"52","DeVonta Smith (PHI)","5","11","44","8.8","22","1","0","0","0","0","0","1","4.4","4.4","98.7%"
"53","Jake Bobo (SEA)","2","2","43","21.5","23","2","0","0","0","0","0","1","4.3","4.3","1.0%"
"54","Mack Hollins (ATL)","3","4","41","13.7","18","0","0","0","0","0","0","1","4.1","4.1","0.6%"
"55","Nelson Agholor (BAL)","2","3","40","20.0","21","1","0","0","0","0","0","1","4.0","4.0","1.4%"
"56","Noah Brown (HOU)","2","5","37","18.5","34","2","0","0","0","0","0","1","3.7","3.7","0.1%"
"57","Marquise Brown (ARI)","4","11","34","8.5","22","1","0","0","0","0","0","1","3.4","3.4","92.0%"
"58","Odell Beckham Jr. (BAL)","2","4","34","17.0","32","2","0","0","0","0","0","1","3.4","3.4","37.0%"
"59","Tutu Atwell (LAR)","1","1","30","30.0","30","2","0","0","0","0","0","1","3.0","3.0","41.9%"
"60","Davante Adams (LV)","2","5","29","14.5","21","1","0","0","0","0","0","1","2.9","2.9","100.0%"
"61","Ray-Ray McCloud III (SF)","1","2","4","4.0","4","0","0","2","23","0","0","1","2.7","2.7","1.7%"
"62","Elijah Moore (CLE)","4","7","19","4.8","9","0","0","1","8","0","0","1","2.7","2.7","48.1%"
"63","Puka Nacua (LAR)","4","7","26","6.5","9","0","0","0","0","0","0","1","2.6","2.6","96.6%"
"64","DJ Chark Jr. (CAR)","3","6","26","8.7","24","1","0","0","0","0","0","1","2.6","2.6","23.2%"
"65","Kalif Raymond (DET)","3","3","23","7.7","12","0","0","1","3","0","0","1","2.6","2.6","1.8%"
"66","Rondale Moore (ARI)","4","7","30","7.5","9","0","0","3","-4","0","0","1","2.6","2.6","22.9%"
"67","Jauan Jennings (SF)","2","4","26","13.0","17","0","0","0","0","0","0","1","2.6","2.6","2.1%"
"68","Calvin Ridley (JAC)","4","8","30","7.5","10","0","0","1","-4","0","0","1","2.6","2.6","97.1%"
"69","Nick Westbrook-Ikhine (TEN)","3","4","25","8.3","10","0","0","0","0","0","0","1","2.5","2.5","0.8%"
"70","Alec Pierce (IND)","3","6","25","8.3","14","0","0","0","0","0","0","1","2.5","2.5","1.9%"
"71","Marquise Goodwin (CLE)","1","2","4","4.0","4","0","0","1","20","0","0","1","2.4","2.4","0.1%"
"72","Michael Gallup (DAL)","3","10","24","8.0","11","0","0","0","0","0","0","1","2.4","2.4","26.4%"
"73","Isaiah McKenzie (IND)","2","2","23","11.5","12","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"74","Skyy Moore (KC)","2","4","22","11.0","12","0","0","0","0","0","0","1","2.2","2.2","31.2%"
"75","Jalin Hyatt (NYG)","3","4","21","7.0","12","0","0","0","0","0","0","1","2.1","2.1","4.5%"
"76","Jonathan Mingo (CAR)","2","3","21","10.5","11","0","0","0","0","0","0","1","2.1","2.1","7.0%"
"77","DeAndre Hopkins (TEN)","1","5","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","92.9%"
"78","Tee Higgins (CIN)","2","4","20","10.0","11","0","0","0","0","0","0","1","2.0","2.0","95.4%"
"79","Randall Cobb (NYJ)","0","3","0","0","0","0","0","0","0","0","0","1","2.0","2.0","0.5%"
"80","Braxton Berrios (MIA)","2","2","20","10.0","10","0","0","0","0","0","0","1","2.0","2.0","3.6%"
"81","Velus Jones Jr. (CHI)","1","1","5","5.0","5","0","0","2","15","0","0","1","2.0","2.0","0.1%"
"82","Brandon Powell (MIN)","3","4","20","6.7","9","0","0","1","-1","0","0","1","1.9","1.9","4.1%"
"83","Xavier Gipson (NYJ)","0","0","0","0","0","0","0","1","18","0","0","1","1.8","1.8","0.1%"
"84","Laviska Shenault Jr. (CAR)","3","3","15","5.0","8","0","0","1","2","0","0","1","1.7","1.7","0.1%"
"85","Rashod Bateman (BAL)","2","3","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","12.6%"
"86","Xavier Hutchinson (HOU)","0","0","0","0","0","0","0","2","15","0","0","1","1.5","1.5","0.1%"
"87","Jerry Jeudy (DEN)","3","5","14","4.7","13","0","0","0","0","0","0","1","1.4","1.4","77.5%"
"88","Khalil Shakir (BUF)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.6%"
"89","Tyler Scott (CHI)","2","4","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.2%"
"90","Deebo Samuel (SF)","0","1","0","0","0","0","0","2","11","0","0","1","1.1","1.1","97.3%"
"91","Allen Lazard (NYJ)","1","3","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","18.2%"
"92","DeVante Parker (NE)","1","3","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","2.1%"
"93","David Bell (CLE)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"94","Chris Moore (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"95","Tyquan Thornton (NE)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","1.1%"
"96","Olamide Zaccheaus (PHI)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.2%"
"97","Marvin Jones Jr. (FA)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.2%"
"98","Scott Miller (ATL)","1","2","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"99","Deven Thompkins (TB)","2","4","-2","-1.0","0","0","0","1","5","0","0","1","0.3","0.3","0.4%"
"100","Gabe Davis (BUF)","3","4","21","7.0","9","0","0","0","0","0","1","1","0.1","0.1","84.4%"
"101","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Dyami Brown (WAS)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"103","Ihmir Smith-Marsette (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"104","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Shi Smith (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Amari Rodgers (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"109","Lil'Jordan Humphrey (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"110","Mecole Hardman Jr. (KC)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","10.5%"
"111","Greg Dortch (ARI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"112","David Sills V (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"115","KaVontae Turpin (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"116","Davion Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Parris Campbell (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.6%"
"118","Andy Isabella (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Tyron Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Jeff Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"122","Diontae Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.2%"
"123","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Juwann Winfree (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Miles Boykin (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Tyler Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Chase Claypool (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5%"
"129","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Hunter Renfrow (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.8%"
"131","Collin Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","N'Keal Harry (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","KhaDarel Hodge (ATL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"134","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Tylan Wallace (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"137","Freddie Swain (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"139","Lawrence Cager (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"140","Tyrie Cleveland (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Lynn Bowden Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"143","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Scotty Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Van Jefferson (ATL)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.8%"
"148","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Steven Sims Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Jalen Guyton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Devin Duvernay (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"154","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Isaiah Hodgins (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"156","Denzel Mims (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Donovan Peoples-Jones (CLE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.0%"
"158","KJ Hamler (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Justin Jefferson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.4%"
"160","Jalen Reagor (NE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"161","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"163","Raleigh Webb (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Lance McCutcheon (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Kaden Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Kwamie Lassiter II (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Kendric Pryor (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Maurice Alexander (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Charlie Jones (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"172","Derius Davis (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"173","Demario Douglas (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"174","Cedric Tillman (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"175","Josh Ali (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Daylen Baldwin (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Jesse Matthews (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Mitchell Tinsley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Brandon Johnson (DEN)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"180","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"181","A.T. Perry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"182","Dontayvion Wicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"183","Jontre Kirklin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Derek Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Devon Allen (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Montrell Washington (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"187","Dareke Young (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Jalen Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Sean Ryan (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Tre'Shaun Harrison (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Dylan Drummond (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Bryan Thompson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","David Durden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Tyrell Shavers (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Tank Dell (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.8%"
"199","Terrell Bynum (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Shaquan Davis (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Malik Knowles (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Thayer Thomas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Jared Wayne (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Grant DuBose (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Jalen Brooks (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Colton Dowell (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"208","Antoine Green (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"209","Matt Landers (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Elijah Cooks (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Shedrick Jackson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Zavier Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Jason Brownlee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Isaiah Winstead (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Chase Cota (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Tyjon Lindsey (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Xavier Smith (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Brycen Tremayne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Duece Watts (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Malik Heath (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Treylon Burks (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.4%"
"224","John Metchie III (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"225","Frank Darby (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Dee Eskridge (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Austin Watkins Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Dax Milne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Cade Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Cornell Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Ben Skowronek (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"234","Jacob Copeland (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Jayden Reed (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.1%"
"236","Ronnie Bell (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"237","Rakim Jarrett (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Kearis Jackson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","George Pickens (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.0%"
"240","Kayshon Boutte (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"241","Braylon Sanders (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Calvin Austin III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"243","Michael Woods II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Christian Watson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.1%"
"245","Samori Toure (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"246","Romeo Doubs (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.5%"
"247","Joseph Ngata (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Erik Ezukanma (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"249","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Danny Gray (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Jalen Virgil (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Jalen Nailor (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Tay Martin (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Bo Melton (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Justin Shorter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"256","Quentin Johnston (LAC)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","25.2%"
"257","Parker Washington (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Jahan Dotson (WAS)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","51.3%"
