"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Brian Robinson Jr. (WAS)","18","87","4.8","27","1","2","2","3","42","21.0","0","0","1","26.9","26.9","90.3%"
"2","Raheem Mostert (MIA)","18","121","6.7","43","3","2","1","1","6","6.0","0","0","1","24.7","24.7","97.7%"
"3","D'Andre Swift (PHI)","28","175","6.3","43","3","1","3","3","6","2.0","0","0","1","24.1","24.1","97.5%"
"4","Kyren Williams (LAR)","14","52","3.7","8","0","1","6","10","48","8.0","1","0","1","22.0","22.0","90.8%"
"5","Saquon Barkley (NYG)","17","63","3.7","16","0","1","6","7","29","4.8","1","0","1","21.2","21.2","100.0%"
"6","Jerome Ford (CLE)","16","106","6.6","69","4","0","3","4","25","8.3","1","0","1","21.1","21.1","86.5%"
"7","Christian McCaffrey (SF)","20","116","5.8","51","4","1","3","3","19","6.3","0","0","1","19.5","19.5","100.0%"
"8","Kenneth Walker III (SEA)","17","43","2.5","14","0","2","1","2","11","11.0","0","0","1","17.4","17.4","99.0%"
"9","Bijan Robinson (ATL)","19","124","6.5","19","0","0","4","5","48","12.0","0","0","1","17.2","17.2","100.0%"
"10","Zack Moss (IND)","18","88","4.9","11","0","1","4","4","19","4.8","0","0","1","16.7","16.7","84.3%"
"11","James Conner (ARI)","23","106","4.6","22","2","1","0","1","0","0","0","0","1","16.6","16.6","87.4%"
"12","Rachaad White (TB)","17","73","4.3","13","0","1","5","5","30","6.0","0","0","1","16.3","16.3","92.2%"
"13","James Cook (BUF)","17","123","7.2","36","2","0","4","4","36","9.0","0","0","1","15.9","15.9","95.9%"
"14","Derrick Henry (TEN)","25","80","3.2","23","1","1","3","4","15","5.0","0","0","1","15.5","15.5","99.9%"
"15","Tony Jones Jr. (NO)","12","34","2.8","6","0","2","0","2","0","0","0","0","1","15.4","15.4","0.8%"
"16","Tony Pollard (DAL)","25","72","2.9","23","1","0","7","8","37","5.3","0","0","1","12.9","12.9","99.8%"
"17","Gus Edwards (BAL)","10","62","6.2","20","1","1","0","0","0","0","0","0","1","12.2","12.2","72.1%"
"18","Rhamondre Stevenson (NE)","15","50","3.3","12","0","1","3","3","10","3.3","0","0","1","12.0","12.0","96.2%"
"19","David Montgomery (DET)","16","67","4.2","16","0","1","1","1","7","7.0","0","1","1","11.4","11.4","96.0%"
"20","Joe Mixon (CIN)","13","59","4.5","14","0","0","4","5","36","9.0","0","0","1","9.5","9.5","98.4%"
"21","Damien Harris (BUF)","7","33","4.7","11","0","1","0","0","0","0","0","0","1","9.3","9.3","11.0%"
"22","Latavius Murray (BUF)","6","22","3.7","8","0","1","2","2","9","4.5","0","0","1","9.1","9.1","20.5%"
"23","Jaylen Warren (PIT)","6","20","3.3","8","0","0","4","6","66","16.5","0","0","1","8.6","8.6","68.9%"
"24","Isiah Pacheco (KC)","12","70","5.8","31","2","0","1","2","0","0.0","0","0","1","7.0","7.0","97.1%"
"25","Jaleel McLaughlin (DEN)","1","5","5.0","5","0","1","0","0","0","0","0","0","1","6.5","6.5","40.8%"
"26","Nick Chubb (CLE)","10","64","6.4","20","1","0","0","0","0","0","0","0","1","6.4","6.4","25.3%"
"27","AJ Dillon (GB)","15","55","3.7","8","0","0","1","1","8","8.0","0","0","1","6.3","6.3","69.6%"
"28","Pierre Strong Jr. (CLE)","2","1","0.5","1","0","1","0","1","0","0","0","0","1","6.1","6.1","8.1%"
"29","Khalil Herbert (CHI)","7","35","5.0","8","0","0","1","3","23","23.0","0","0","1","5.8","5.8","63.3%"
"30","Javonte Williams (DEN)","12","44","3.7","15","0","0","2","3","14","7.0","0","0","1","5.8","5.8","87.4%"
"31","Jahmyr Gibbs (DET)","7","17","2.4","8","0","0","7","9","39","5.6","0","0","1","5.6","5.6","97.9%"
"32","Tyjae Spears (TEN)","8","49","6.1","14","0","0","2","2","6","3.0","0","0","1","5.5","5.5","42.3%"
"33","Antonio Gibson (WAS)","2","9","4.5","7","0","0","3","3","44","14.7","0","0","1","5.3","5.3","45.4%"
"34","Justice Hill (BAL)","11","41","3.7","11","0","0","3","3","12","4.0","0","0","1","5.3","5.3","33.7%"
"35","Chuba Hubbard (CAR)","2","16","8.0","14","0","0","5","5","34","6.8","0","0","1","5.0","5.0","51.1%"
"36","Josh Jacobs (LV)","9","-2","-0.2","3","0","0","5","6","51","10.2","0","0","1","4.9","4.9","99.8%"
"37","Tyler Allgeier (ATL)","16","48","3.0","10","0","0","0","0","0","0","0","0","1","4.8","4.8","57.1%"
"38","Miles Sanders (CAR)","14","43","3.1","13","0","0","3","5","4","1.3","0","0","1","4.7","4.7","85.5%"
"39","Rico Dowdle (DAL)","7","26","3.7","9","0","0","1","1","17","17.0","0","0","1","4.3","4.3","2.8%"
"40","Najee Harris (PIT)","10","43","4.3","21","1","0","1","3","0","0.0","0","0","1","4.3","4.3","92.2%"
"41","Travis Etienne Jr. (JAC)","12","40","3.3","9","0","0","2","3","2","1.0","0","0","1","4.2","4.2","99.8%"
"42","Roschon Johnson (CHI)","4","32","8.0","29","1","0","2","2","10","5.0","0","0","1","4.2","4.2","47.8%"
"43","Salvon Ahmed (MIA)","3","13","4.3","10","0","0","3","3","28","9.3","0","0","1","4.1","4.1","6.2%"
"44","Boston Scott (PHI)","5","40","8.0","18","0","0","0","0","0","0","0","0","1","4.0","4.0","0.3%"
"45","Joshua Kelley (LAC)","13","39","3.0","15","0","0","0","1","0","0","0","0","1","3.9","3.9","23.7%"
"46","Dameon Pierce (HOU)","15","31","2.1","10","0","0","2","3","4","2.0","0","0","1","3.5","3.5","91.6%"
"47","Deuce Vaughn (DAL)","3","16","5.3","13","0","0","3","3","16","5.3","0","0","1","3.2","3.2","2.1%"
"48","Zach Charbonnet (SEA)","4","16","4.0","9","0","0","2","2","14","7.0","0","0","1","3.0","3.0","36.3%"
"49","Jamaal Williams (NO)","9","29","3.2","7","0","0","0","0","0","0","0","0","1","2.9","2.9","35.4%"
"50","Devin Singletary (HOU)","4","14","3.5","5","0","0","1","1","10","10.0","0","0","1","2.4","2.4","25.9%"
"51","Samaje Perine (DEN)","1","4","4.0","4","0","0","3","4","20","6.7","0","0","1","2.4","2.4","30.5%"
"52","Jerick McKinnon (KC)","1","-2","-2.0","0","0","0","3","3","24","8.0","0","0","1","2.2","2.2","36.0%"
"53","Alexander Mattison (MIN)","8","28","3.5","7","0","0","3","6","11","3.7","0","1","1","1.9","1.9","93.6%"
"54","Elijah Dotson (LAC)","4","6","1.5","2","0","0","2","2","13","6.5","0","0","1","1.9","1.9","0.3%"
"55","D'Ernest Johnson (JAC)","1","8","8.0","8","0","0","1","1","9","9.0","0","0","1","1.7","1.7","0.1%"
"56","Clyde Edwards-Helaire (KC)","1","0","0.0","0","0","0","2","2","17","8.5","0","0","1","1.7","1.7","6.7%"
"57","Rashaad Penny (PHI)","3","9","3.0","6","0","0","1","1","5","5.0","0","0","1","1.4","1.4","15.6%"
"58","Ezekiel Elliott (NE)","5","13","2.6","7","0","0","0","0","0","0","0","0","1","1.3","1.3","43.7%"
"59","Chase Edmonds (TB)","2","12","6.0","14","0","0","0","0","0","0","0","0","1","1.2","1.2","1.0%"
"60","Michael Carter (NYJ)","2","8","4.0","6","0","0","1","2","3","3.0","0","0","1","1.1","1.1","0.9%"
"61","Breece Hall (NYJ)","4","9","2.3","9","0","0","0","2","0","0","0","0","1","0.9","0.9","96.8%"
"62","De'Von Achane (MIA)","1","5","5.0","5","0","0","1","1","4","4.0","0","0","1","0.9","0.9","92.0%"
"63","Ty Chandler (MIN)","1","0","0.0","0","0","0","2","2","9","4.5","0","0","1","0.9","0.9","1.1%"
"64","Sean Tucker (TB)","8","7","0.9","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.7%"
"65","Keaontay Ingram (ARI)","2","6","3.0","5","0","0","0","0","0","0","0","0","1","0.6","0.6","8.2%"
"66","Craig Reynolds (DET)","3","7","2.3","5","0","0","1","1","-2","-2.0","0","0","1","0.5","0.5","10.8%"
"67","Emanuel Wilson (GB)","3","5","1.7","7","0","0","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"68","Ameer Abdullah (LV)","0","0","0","0","0","0","1","3","5","5.0","0","0","1","0.5","0.5","0.9%"
"69","Emari Demercado (ARI)","1","-2","-2.0","0","0","0","2","2","7","3.5","0","0","1","0.5","0.5","34.6%"
"70","Matt Breida (NYG)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","7.3%"
"71","Dare Ogunbowale (HOU)","2","4","2.0","2","0","0","0","0","0","0","0","0","1","0.4","0.4","0.2%"
"72","Ronnie Rivers (LAR)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.7%"
"73","Trayveon Williams (CIN)","0","0","0","0","0","0","2","2","4","2.0","0","0","1","0.4","0.4","0.7%"
"74","Reggie Gilliam (BUF)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.1%"
"75","Michael Burton (DEN)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"76","Isaiah Spiller (LAC)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.3%"
"77","DeeJay Dallas (SEA)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.9%"
"78","Chase Brown (CIN)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.8%"
"79","Zamir White (LV)","4","22","5.5","8","0","0","0","0","0","0","0","1","1","0.2","0.2","1.4%"
"80","Patrick Taylor Jr. (NE)","1","1","1.0","1","0","0","0","1","0","0","0","0","1","0.1","0.1","0.6%"
"81","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"82","Andrew Beck (HOU)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Darrynton Evans (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"87","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"88","Eno Benjamin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Ke'Shawn Vaughn (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"90","Cam Akers (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.6%"
"91","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.8%"
"92","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.4%"
"93","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Devine Ozigbo (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"100","Darrell Henderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.7%"
"101","Alec Ingold (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"102","Qadree Ollison (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"105","Deon Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"106","Demetric Felton Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"108","Jonathan Ward (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"111","JaMycal Hasty (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"112","James Robinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"113","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
