"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Darnell Mooney (CHI)","4","5","32","8.0","11","0","0","1","2","0","0","1","3.4","3.4","23.5%"
"57","Tyler Scott (CHI)","2","3","19","9.5","13","0","0","2","14","0","0","1","3.3","3.3","0.2%"
"58","Rashid Shaheed (NO)","4","8","28","7.0","12","0","0","1","4","0","0","1","3.2","3.2","27.2%"
"59","Christian Watson (GB)","3","5","27","9.0","23","1","0","0","0","0","0","1","2.7","2.7","88.1%"
"60","Michael Wilson (ARI)","3","5","26","8.7","11","0","0","0","0","0","0","1","2.6","2.6","12.6%"
"61","Rondale Moore (ARI)","2","4","2","1.0","4","0","0","4","24","0","0","1","2.6","2.6","22.9%"
"62","Curtis Samuel (WAS)","4","8","25","6.3","18","0","0","0","0","0","0","1","2.5","2.5","47.3%"
"63","Dontayvion Wicks (GB)","1","1","17","17.0","17","0","0","1","1","0","0","1","2.4","2.4","0.2%"
"64","Derius Davis (LAC)","1","2","10","10.0","10","0","0","3","14","0","0","1","2.4","2.4","0.1%"
"65","Marquise Goodwin (CLE)","1","2","6","6.0","6","0","0","1","17","0","0","1","2.3","2.3","0.1%"
"66","Darius Slayton (NYG)","1","2","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","2.4%"
"67","Donovan Peoples-Jones (CLE)","2","3","22","11.0","17","0","0","0","0","0","0","1","2.2","2.2","3.0%"
"68","Amari Cooper (CLE)","2","8","22","11.0","13","0","0","0","0","0","0","1","2.2","2.2","96.5%"
"69","Wan'Dale Robinson (NYG)","1","2","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","14.6%"
"70","Quentin Johnston (LAC)","1","2","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","25.2%"
"71","Kalif Raymond (DET)","2","2","20","10.0","11","0","0","0","0","0","0","1","2.0","2.0","1.8%"
"72","Ray-Ray McCloud III (SF)","2","3","20","10.0","11","0","0","0","0","0","0","1","2.0","2.0","1.7%"
