"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Emari Demercado (ARI)","2","11","5.5","6","0","0","1","1","6","6.0","0","0","1","1.7","1.7","34.6%"
"53","Kenneth Gainwell (PHI)","2","13","6.5","12","0","0","1","2","4","4.0","0","0","1","1.7","1.7","27.2%"
"54","Boston Scott (PHI)","2","2","1.0","9","0","0","1","1","14","14.0","0","0","1","1.6","1.6","0.3%"
"55","Clyde Edwards-Helaire (KC)","2","7","3.5","7","0","0","1","1","9","9.0","0","0","1","1.6","1.6","6.7%"
"56","Cam Akers (MIN)","1","8","8.0","8","0","0","1","1","7","7.0","0","0","1","1.5","1.5","55.6%"
"57","Dalvin Cook (NYJ)","3","12","4.0","8","0","0","1","1","2","2.0","0","0","1","1.4","1.4","44.0%"
"58","Ronnie Rivers (LAR)","3","9","3.0","6","0","0","1","1","4","4.0","0","0","1","1.3","1.3","0.7%"
"59","Devine Ozigbo (DET)","3","5","1.7","4","0","0","1","1","8","8.0","0","0","1","1.3","1.3","0.0%"
"60","Matt Breida (NYG)","4","13","3.3","6","0","0","0","1","0","0","0","0","1","1.3","1.3","7.3%"
"61","Chase Brown (CIN)","1","4","4.0","4","0","0","1","1","8","8.0","0","0","1","1.2","1.2","0.8%"
"62","Kendre Miller (NO)","2","-1","-0.5","3","0","0","1","2","13","13.0","0","0","1","1.2","1.2","6.3%"
"63","Rico Dowdle (DAL)","3","12","4.0","7","0","0","0","0","0","0","0","0","1","1.2","1.2","2.8%"
"64","Mike Boone (HOU)","1","11","11.0","11","0","0","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"65","Zach Evans (LAR)","4","10","2.5","3","0","0","0","0","0","0","0","0","1","1.0","1.0","17.3%"
"66","Ty Montgomery II (NE)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","0.9","0.9","0.2%"
"67","Zamir White (LV)","2","2","1.0","1","0","0","2","2","7","3.5","0","0","1","0.9","0.9","1.4%"
"68","Kyle Juszczyk (SF)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","0.9","0.9","0.4%"
"69","Ke'Shawn Vaughn (TB)","6","9","1.5","7","0","0","0","2","0","0","0","0","1","0.9","0.9","0.8%"
"70","Tank Bigsby (JAC)","3","2","0.7","3","0","0","1","1","6","6.0","0","0","1","0.8","0.8","9.9%"
"71","Cordarrelle Patterson (ATL)","1","0","0.0","0","0","0","1","1","6","6.0","0","0","1","0.6","0.6","2.7%"
"72","Michael Carter (NYJ)","1","5","5.0","5","0","0","0","1","0","0","0","0","1","0.5","0.5","0.9%"
"73","Joshua Kelley (LAC)","1","2","2.0","2","0","0","1","2","2","2.0","0","0","1","0.4","0.4","23.7%"
"74","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.1%"
"75","Trayveon Williams (CIN)","0","0","0","0","0","0","2","2","3","1.5","0","0","1","0.3","0.3","0.7%"
"76","Isaiah Spiller (LAC)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.3%"
"77","Eric Gray (NYG)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"78","Michael Burton (DEN)","2","2","1.0","3","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"79","Damien Harris (BUF)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","11.0%"
"80","Khari Blasingame (CHI)","0","0","0","0","0","0","1","1","1","1.0","0","0","1","0.1","0.1","0.1%"
"81","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"83","Eno Benjamin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Trey Sermon (IND)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"85","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"86","AJ Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.6%"
"87","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Najee Harris (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.2%"
"89","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.8%"
"90","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Jakob Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"94","Miles Sanders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.5%"
"95","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"98","Darrell Henderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.7%"
"99","Alec Ingold (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"100","Qadree Ollison (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Demetric Felton Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
