"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"60","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Malik Cunningham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"62","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"63","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"64","Jaren Hall (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Malik Willis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"68","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.7%"
"69","Brett Rypien (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"71","Blaine Gabbert (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"72","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Case Keenum (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Josh Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Brian Hoyer (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"80","Nick Mullens (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","P.J. Walker (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"82","Mason Rudolph (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","C.J. Beathard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"84","Logan Woodside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Mitch Trubisky (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"86","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.2%"
"87","Nathan Peterman (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Baker Mayfield (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.0%"
"89","Nate Sudfeld (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Will Grier (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","John Wolford (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Drew Lock (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"93","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"94","Trace McSorley (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"95","Mike White (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"96","Kyle Allen (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"97","Alex McGough (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Tim Boyle (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Geno Smith (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.5%"
"100","AJ McCarron (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Marcus Mariota (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"103","Jacoby Brissett (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Brandon Allen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Sean Mannion (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Taylor Heinicke (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"107","Trevor Siemian (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Sam Darnold (SF)","1","1","100.0","1","1.0","0","0","0","1","-1","0","0","1","-0.1","-0.1","4.4%"
"109","Teddy Bridgewater (DET)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.1%"
"110","Jameis Winston (NO)","0","0","0","0","0","0","0","0","3","-4","0","0","1","-0.4","-0.4","0.3%"
""
""
