"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","20","106","5.3","18","0","3","7","8","71","10.1","1","0","1","41.7","41.7","100.0%"
"2","David Montgomery (DET)","32","121","3.8","16","0","3","2","2","20","10.0","0","0","1","32.1","32.1","96.0%"
"3","Kyren Williams (LAR)","25","103","4.1","20","1","2","3","3","24","8.0","0","0","1","24.7","24.7","90.8%"
"4","De'Von Achane (MIA)","8","101","12.6","55","4","2","3","5","19","6.3","0","0","1","24.0","24.0","92.0%"
"5","Derrick Henry (TEN)","22","122","5.5","29","1","1","1","1","11","11.0","0","0","1","23.4","23.4","99.9%"
"6","Isiah Pacheco (KC)","20","115","5.8","48","3","1","3","3","43","14.3","0","0","1","21.8","21.8","97.1%"
"7","Josh Jacobs (LV)","17","58","3.4","9","0","1","8","11","81","10.1","0","0","1","19.9","19.9","99.8%"
"8","Khalil Herbert (CHI)","18","103","5.7","24","2","0","4","5","19","4.8","1","0","1","18.2","18.2","63.3%"
"9","Jaleel McLaughlin (DEN)","7","72","10.3","31","2","0","3","3","32","10.7","1","0","1","16.4","16.4","40.8%"
"10","D'Andre Swift (PHI)","14","56","4.0","8","0","1","4","4","23","5.8","0","0","1","13.9","13.9","97.5%"
"11","Kenneth Walker III (SEA)","17","79","4.6","31","2","1","0","0","0","0","0","0","1","13.9","13.9","99.0%"
"12","James Cook (BUF)","12","29","2.4","8","0","1","1","1","48","48.0","0","0","1","13.7","13.7","95.9%"
"13","Bijan Robinson (ATL)","14","105","7.5","38","3","0","5","5","32","6.4","0","0","1","13.7","13.7","100.0%"
"14","Brian Robinson Jr. (WAS)","14","45","3.2","15","0","1","2","2","6","3.0","0","0","1","11.1","11.1","90.3%"
"15","Dameon Pierce (HOU)","24","81","3.4","13","0","0","1","2","27","27.0","0","0","1","10.8","10.8","91.6%"
"16","Najee Harris (PIT)","14","71","5.1","23","1","0","1","2","32","32.0","0","0","1","10.3","10.3","92.2%"
"17","Alexander Mattison (MIN)","17","95","5.6","17","0","0","1","1","3","3.0","0","0","1","9.8","9.8","93.6%"
"18","Zack Moss (IND)","18","70","3.9","20","1","0","0","1","0","0","0","0","1","9.0","9.0","84.3%"
"19","Alvin Kamara (NO)","11","51","4.6","13","0","0","13","14","33","2.5","0","0","1","8.4","8.4","98.3%"
"20","Matt Breida (NYG)","14","30","2.1","5","0","0","5","5","48","9.6","0","0","1","7.8","7.8","7.3%"
"21","Rachaad White (TB)","15","56","3.7","11","0","0","3","3","22","7.3","0","0","1","7.8","7.8","92.2%"
"22","Devin Singletary (HOU)","7","25","3.6","9","0","0","1","1","11","11.0","0","0","1","7.8","7.8","25.9%"
"23","Joe Mixon (CIN)","14","67","4.8","13","0","0","1","1","9","9.0","0","0","1","7.6","7.6","98.4%"
"24","Travis Etienne Jr. (JAC)","20","55","2.8","7","0","0","3","3","17","5.7","0","0","1","7.2","7.2","99.8%"
"25","Breece Hall (NYJ)","6","56","9.3","43","3","0","3","4","13","4.3","0","0","1","6.9","6.9","96.8%"
"26","Joshua Kelley (LAC)","17","65","3.8","22","1","0","0","0","0","0","0","0","1","6.5","6.5","23.7%"
"27","Hunter Luepke (DAL)","2","4","2.0","3","0","1","0","0","0","0","0","0","1","6.4","6.4","0.0%"
"28","Tony Pollard (DAL)","11","47","4.3","16","0","0","3","3","13","4.3","0","0","1","6.0","6.0","99.8%"
"29","Tyjae Spears (TEN)","5","40","8.0","22","1","0","3","4","18","6.0","0","0","1","5.8","5.8","42.3%"
"30","Ronnie Rivers (LAR)","9","47","5.2","9","0","0","2","2","10","5.0","0","0","1","5.7","5.7","0.7%"
"31","James Conner (ARI)","11","52","4.7","11","0","0","1","2","4","4.0","0","0","1","5.6","5.6","87.4%"
"32","Latavius Murray (BUF)","4","32","8.0","29","1","0","2","2","24","12.0","0","0","1","5.6","5.6","20.5%"
"33","Jaylen Warren (PIT)","8","29","3.6","18","0","0","6","6","26","4.3","0","0","1","5.5","5.5","68.9%"
"34","Chuba Hubbard (CAR)","14","41","2.9","7","0","0","2","2","12","6.0","0","0","1","5.3","5.3","51.1%"
"35","Cam Akers (MIN)","5","40","8.0","10","0","0","2","2","11","5.5","0","0","1","5.1","5.1","55.6%"
"36","Jahmyr Gibbs (DET)","8","40","5.0","9","0","0","4","5","11","2.8","0","0","1","5.1","5.1","97.9%"
"37","Gus Edwards (BAL)","15","48","3.2","16","0","0","2","3","1","0.5","0","0","1","4.9","4.9","72.1%"
"38","Pierre Strong Jr. (CLE)","5","49","9.8","40","3","0","0","0","0","0","0","0","1","4.9","4.9","8.1%"
"39","Jerome Ford (CLE)","9","26","2.9","10","0","0","5","6","19","3.8","0","0","1","4.5","4.5","86.5%"
"40","Melvin Gordon III (BAL)","3","21","7.0","22","1","0","1","1","23","23.0","0","0","1","4.4","4.4","0.2%"
"41","Kenneth Gainwell (PHI)","4","14","3.5","13","0","0","2","2","7","3.5","0","0","1","4.1","4.1","27.2%"
"42","Zach Charbonnet (SEA)","5","31","6.2","15","0","0","1","3","9","9.0","0","0","1","4.0","4.0","36.3%"
"43","Rhamondre Stevenson (NE)","14","30","2.1","8","0","0","2","3","10","5.0","0","0","1","4.0","4.0","96.2%"
"44","Samaje Perine (DEN)","6","12","2.0","5","0","0","2","2","23","11.5","0","0","1","3.5","3.5","30.5%"
"45","Justice Hill (BAL)","3","33","11.0","15","0","0","0","0","0","0","0","0","1","3.3","3.3","33.7%"
"46","Miles Sanders (CAR)","13","19","1.5","6","0","0","3","3","13","4.3","0","0","1","3.2","3.2","85.5%"
"47","Damien Harris (BUF)","6","29","4.8","8","0","0","0","0","0","0","0","0","1","2.9","2.9","11.0%"
"48","Isaiah Spiller (LAC)","5","12","2.4","4","0","0","2","2","15","7.5","0","0","1","2.7","2.7","0.3%"
"49","Antonio Gibson (WAS)","6","19","3.2","10","0","0","1","1","7","7.0","0","0","1","2.6","2.6","45.4%"
"50","Raheem Mostert (MIA)","7","9","1.3","6","0","0","3","5","36","12.0","0","1","1","2.5","2.5","97.7%"
"51","Emari Demercado (ARI)","1","3","3.0","3","0","0","3","4","21","7.0","0","0","1","2.4","2.4","34.6%"
"52","Alec Ingold (MIA)","0","0","0","0","0","0","1","1","23","23.0","0","0","1","2.3","2.3","0.1%"
"53","Jordan Mason (SF)","3","10","3.3","4","0","0","1","1","13","13.0","0","0","1","2.3","2.3","13.7%"
"54","Ezekiel Elliott (NE)","6","16","2.7","9","0","0","2","3","6","3.0","0","0","1","2.2","2.2","43.7%"
"55","Michael Carter (NYJ)","1","9","9.0","9","0","0","2","3","12","6.0","0","0","1","2.1","2.1","0.9%"
"56","Ke'Shawn Vaughn (TB)","9","16","1.8","8","0","0","1","1","3","3.0","0","0","1","1.9","1.9","0.8%"
"57","Gary Brightwell (NYG)","4","9","2.3","4","0","0","1","2","10","10.0","0","0","1","1.9","1.9","0.7%"
"58","Dalvin Cook (NYJ)","5","16","3.2","5","0","0","1","1","2","2.0","0","0","1","1.8","1.8","44.0%"
"59","Rico Dowdle (DAL)","3","9","3.0","9","0","0","1","1","8","8.0","0","0","1","1.7","1.7","2.8%"
"60","Zamir White (LV)","3","15","5.0","11","0","0","0","0","0","0","0","0","1","1.5","1.5","1.4%"
"61","Roschon Johnson (CHI)","5","13","2.6","7","0","0","1","1","2","2.0","0","0","1","1.5","1.5","47.8%"
"62","Ameer Abdullah (LV)","0","0","0","0","0","0","2","2","14","7.0","0","0","1","1.4","1.4","0.9%"
"63","Aaron Jones (GB)","5","18","3.6","9","0","0","1","2","-4","-4.0","0","0","1","1.4","1.4","97.4%"
"64","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","14","14.0","0","0","1","1.4","1.4","0.1%"
"65","Clyde Edwards-Helaire (KC)","3","12","4.0","9","0","0","1","1","1","1.0","0","0","1","1.3","1.3","6.7%"
"66","Kareem Hunt (CLE)","5","12","2.4","6","0","0","0","0","0","0","0","0","1","1.2","1.2","73.2%"
"67","Jakob Johnson (LV)","0","0","0","0","0","0","1","2","12","12.0","0","0","1","1.2","1.2","0.0%"
"68","Tyler Allgeier (ATL)","7","16","2.3","9","0","0","1","2","-4","-4.0","0","0","1","1.2","1.2","57.1%"
"69","AJ Dillon (GB)","5","11","2.2","6","0","0","0","1","0","0","0","0","1","1.1","1.1","69.6%"
"70","Deuce Vaughn (DAL)","8","9","1.1","3","0","0","1","1","2","2.0","0","0","1","1.1","1.1","2.1%"
"71","Tank Bigsby (JAC)","3","10","3.3","6","0","0","0","0","0","0","0","0","1","1.0","1.0","9.9%"
"72","Javonte Williams (DEN)","2","0","0.0","1","0","0","3","3","9","3.0","0","0","1","0.9","0.9","87.4%"
"73","Kendre Miller (NO)","1","3","3.0","3","0","0","1","1","5","5.0","0","0","1","0.8","0.8","6.3%"
"74","Trey Sermon (IND)","3","7","2.3","4","0","0","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"75","Jerick McKinnon (KC)","3","7","2.3","3","0","0","0","1","0","0","0","0","1","0.7","0.7","36.0%"
"76","Kyle Juszczyk (SF)","2","3","1.5","3","0","0","1","1","4","4.0","0","0","1","0.7","0.7","0.4%"
"77","Trayveon Williams (CIN)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.7%"
"78","Mike Boone (HOU)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"79","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"81","Andrew Beck (HOU)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"82","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","10.8%"
"83","Darrynton Evans (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"84","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"85","Eno Benjamin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.8%"
"88","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.4%"
"89","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Devine Ozigbo (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Salvon Ahmed (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.2%"
"93","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"97","Darrell Henderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.7%"
"98","Qadree Ollison (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"100","Deon Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"101","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"102","Demetric Felton Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"105","Jonathan Ward (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Patrick Taylor Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"107","JaMycal Hasty (JAC)","0","0","0","0","0","0","0","2","0","0","0","0","1","0.0","0.0","0.1%"
"108","DeeJay Dallas (SEA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.9%"
"109","Tony Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"110","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"111","James Robinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"112","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"113","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"115","Zonovan Knight (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"116","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
